PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,PlayResult,RelSpeed,Runner
1,2026/2/5,1,1,香西,Left,"Mito, Souta",Left,0,0,0,Curveball,StrikeCalled,,102,
2,2026/2/5,1,2,香西,Left,"Mito, Souta",Left,0,0,1,Fastball,BallCalled,,132,
3,2026/2/5,1,3,香西,Left,"Mito, Souta",Left,0,1,1,Curveball,BallCalled,,104,
4,2026/2/5,1,4,香西,Left,"Mito, Souta",Left,0,2,1,Fastball,StrikeCalled,,134,
5,2026/2/5,1,5,香西,Left,"Mito, Souta",Left,0,2,2,Fastball,StrikeSwinging,Out,134,
6,2026/2/5,2,1,香西,Left,"Yamane, Juntaro",Right,1,0,0,Fastball,BallCalled,,133,
7,2026/2/5,2,2,香西,Left,"Yamane, Juntaro",Right,1,1,0,Fastball,InPlay,Out,134,
8,2026/2/5,3,1,香西,Left,"Okanishi, Yuya",Left,2,0,0,Slider,StrikeCalled,,117,
9,2026/2/5,3,2,香西,Left,"Okanishi, Yuya",Left,2,0,1,Curveball,BallCalled,,99,
10,2026/2/5,3,3,香西,Left,"Okanishi, Yuya",Left,2,1,1,Slider,InPlay,Out,126,
11,2026/2/5,1,1,香西,Left,"Terao, Kensei",Right,0,0,0,Fastball,BallCalled,,131,
12,2026/2/5,1,2,香西,Left,"Terao, Kensei",Right,0,1,0,Fastball,BallCalled,,132,
13,2026/2/5,1,3,香西,Left,"Terao, Kensei",Right,0,2,0,Fastball,StrikeCalled,,134,
14,2026/2/5,1,4,香西,Left,"Terao, Kensei",Right,0,2,1,Fastball,InPlay,Out,134,
15,2026/2/5,2,1,香西,Left,"Ogata, Mikito",Left,1,0,0,Slider,StrikeCalled,,112,
16,2026/2/5,2,2,香西,Left,"Ogata, Mikito",Left,1,0,1,Fastball,StrikeCalled,,135,
17,2026/2/5,2,3,香西,Left,"Ogata, Mikito",Left,1,0,2,Fastball,BallCalled,,133,
18,2026/2/5,2,4,香西,Left,"Ogata, Mikito",Left,1,1,2,Fastball,FoulBallFieldable,,135,
19,2026/2/5,2,5,香西,Left,"Ogata, Mikito",Left,1,1,2,Curveball,BallCalled,,106,
20,2026/2/5,2,6,香西,Left,"Ogata, Mikito",Left,1,2,2,Fastball,InPlay,Out,133,
21,2026/2/5,3,1,香西,Left,"Takahashi, Hiroto",Right,2,0,0,Fastball,BallCalled,,131,
22,2026/2/5,3,2,香西,Left,"Takahashi, Hiroto",Right,2,1,0,Fastball,StrikeCalled,,132,
23,2026/2/5,3,3,香西,Left,"Takahashi, Hiroto",Right,2,1,1,Slider,BallCalled,,114,
24,2026/2/5,3,4,香西,Left,"Takahashi, Hiroto",Right,2,2,1,Fastball,InPlay,Single,133,
25,2026/2/5,4,1,香西,Left,"Tokumaru, Kaisei",Left,2,0,0,Fastball,StrikeCalled,,134,1
26,2026/2/5,4,2,香西,Left,"Tokumaru, Kaisei",Left,2,0,1,Slider,BallCalled,,120,1
27,2026/2/5,4,3,香西,Left,"Tokumaru, Kaisei",Left,2,1,1,Cutter,StrikeSwinging,,126,1
28,2026/2/5,4,4,香西,Left,"Tokumaru, Kaisei",Left,2,1,2,Fastball,InPlay,Single,134,1
29,2026/2/5,5,1,香西,Left,"Izakura, Yuto",Left,2,0,0,Fastball,StrikeCalled,,135,1.3
30,2026/2/5,5,2,香西,Left,"Izakura, Yuto",Left,2,0,1,Curveball,BallCalled,,108,1.3
31,2026/2/5,5,3,香西,Left,"Izakura, Yuto",Left,2,1,1,Fastball,FoulBallFieldable,,134,1.3
32,2026/2/5,5,4,香西,Left,"Izakura, Yuto",Left,2,1,2,Slider,StrikeSwinging,Out,120,1.3
33,2026/2/5,1,1,香西,Left,"Yuasa, Ousuke",Right,0,0,0,ChangeUp,BallCalled,,115,
34,2026/2/5,1,2,香西,Left,"Yuasa, Ousuke",Right,0,1,0,Curveball,BallCalled,,106,
35,2026/2/5,1,3,香西,Left,"Yuasa, Ousuke",Right,0,2,0,Fastball,BallCalled,,134,
36,2026/2/5,1,4,香西,Left,"Yuasa, Ousuke",Right,0,3,0,Fastball,StrikeCalled,,130,
37,2026/2/5,1,5,香西,Left,"Yuasa, Ousuke",Right,0,3,1,Fastball,BallCalled,Undefined,135,
38,2026/2/5,2,1,香西,Left,"Nakamura, Rioto",Right,0,0,0,Fastball,BallCalled,,131,1
39,2026/2/5,2,2,香西,Left,"Nakamura, Rioto",Right,0,1,0,Fastball,InPlay,Out,131,1
40,2026/2/5,3,1,香西,Left,"Yuasa, Ousuke",Right,2,0,0,Slider,BallCalled,,112,
41,2026/2/5,3,2,香西,Left,"Yuasa, Ousuke",Right,2,1,0,Fastball,InPlay,Out,132,
1,2026/2/5,1,1,越井,Right,"Mito, Souta",Left,0,0,0,Fastball,FoulBallFieldable,,140,
2,2026/2/5,1,2,越井,Right,"Mito, Souta",Left,0,0,1,Fastball,StrikeCalled,,139,
3,2026/2/5,1,3,越井,Right,"Mito, Souta",Left,0,0,2,ChangeUp,StrikeSwinging,Out,125,
4,2026/2/5,2,1,越井,Right,"Yamane, Juntaro",Right,1,0,0,Slider,InPlay,Out,128,
5,2026/2/5,3,1,越井,Right,"Okanishi, Yuya",Left,2,0,0,Curveball,BallCalled,,103,
6,2026/2/5,3,2,越井,Right,"Okanishi, Yuya",Left,2,1,0,Fastball,InPlay,Double,142,
7,2026/2/5,4,1,越井,Right,"Terao, Kensei",Right,2,0,0,Fastball,BallCalled,,138,2
8,2026/2/5,4,2,越井,Right,"Terao, Kensei",Right,2,1,0,Fastball,StrikeCalled,,140,2
9,2026/2/5,4,3,越井,Right,"Terao, Kensei",Right,2,1,1,Slider,InPlay,Triple,124,2
10,2026/2/5,5,1,越井,Right,"Ogata, Mikito",Left,2,0,0,Cutter,StrikeCalled,,128,3
11,2026/2/5,5,2,越井,Right,"Ogata, Mikito",Left,2,0,1,Splitter,InPlay,Out,124,3
12,2026/2/5,1,1,越井,Right,"Nakamura , Syunei",Right,0,0,0,Fastball,FoulBallFieldable,,141,
13,2026/2/5,1,2,越井,Right,"Nakamura , Syunei",Right,0,0,1,Cutter,StrikeCalled,,128,
14,2026/2/5,1,3,越井,Right,"Nakamura , Syunei",Right,0,0,2,Slider,BallCalled,,121,
15,2026/2/5,1,4,越井,Right,"Nakamura , Syunei",Right,0,1,2,Fastball,BallCalled,,143,
16,2026/2/5,1,5,越井,Right,"Nakamura , Syunei",Right,0,2,2,Slider,InPlay,Out,126,
17,2026/2/5,2,1,越井,Right,"Takahashi, Hiroto",Right,1,0,0,Fastball,StrikeCalled,,140,
18,2026/2/5,2,2,越井,Right,"Takahashi, Hiroto",Right,1,0,1,Fastball,StrikeCalled,,142,
19,2026/2/5,2,3,越井,Right,"Takahashi, Hiroto",Right,1,0,2,Slider,BallCalled,,115,
20,2026/2/5,2,4,越井,Right,"Takahashi, Hiroto",Right,1,1,2,Slider,BallCalled,,115,
21,2026/2/5,2,5,越井,Right,"Takahashi, Hiroto",Right,1,2,2,Cutter,StrikeSwinging,Out,128,
22,2026/2/5,3,1,越井,Right,"Tokumaru, Kaisei",Left,2,0,0,Slider,StrikeCalled,,110,
23,2026/2/5,3,2,越井,Right,"Tokumaru, Kaisei",Left,2,0,1,Splitter,BallCalled,,135,
24,2026/2/5,3,3,越井,Right,"Tokumaru, Kaisei",Left,2,1,1,Fastball,StrikeCalled,,141,
25,2026/2/5,3,4,越井,Right,"Tokumaru, Kaisei",Left,2,1,2,ChangeUp,BallCalled,,126,
26,2026/2/5,3,5,越井,Right,"Tokumaru, Kaisei",Left,2,2,2,ChangeUp,StrikeSwinging,Out,128,
27,2026/2/5,1,1,越井,Right,"Izakura, Yuto",Left,0,0,0,Cutter,BallCalled,,131,
28,2026/2/5,1,2,越井,Right,"Izakura, Yuto",Left,0,1,0,Fastball,StrikeCalled,,141,
29,2026/2/5,1,3,越井,Right,"Izakura, Yuto",Left,0,1,1,Cutter,StrikeSwinging,,128,
30,2026/2/5,1,4,越井,Right,"Izakura, Yuto",Left,0,1,2,ChangeUp,StrikeSwinging,Out,126,
31,2026/2/5,2,1,越井,Right,"Yuasa, Ousuke",Right,1,0,0,Fastball,StrikeCalled,,143,
32,2026/2/5,2,2,越井,Right,"Yuasa, Ousuke",Right,1,0,1,Slider,BallCalled,,111,
33,2026/2/5,2,3,越井,Right,"Yuasa, Ousuke",Right,1,1,1,Cutter,BallCalled,,128,
34,2026/2/5,2,4,越井,Right,"Yuasa, Ousuke",Right,1,2,1,Fastball,FoulBallFieldable,,141,
35,2026/2/5,2,5,越井,Right,"Yuasa, Ousuke",Right,1,2,2,ChangeUp,BallCalled,,124,
36,2026/2/5,2,6,越井,Right,"Yuasa, Ousuke",Right,1,3,2,Cutter,FoulBallFieldable,,128,
37,2026/2/5,2,7,越井,Right,"Yuasa, Ousuke",Right,1,3,2,Fastball,StrikeCalled,Out,143,
1,2026/2/5,1,1,齋藤士,Right,"Nakamura, Shunei",Left,0,0,0,Fastball,StrikeCalled,,141,1
2,2026/2/5,1,2,齋藤士,Right,"Nakamura, Shunei",Left,0,0,1,Fastball,StrikeSwinging,,144,1
3,2026/2/5,1,3,齋藤士,Right,"Nakamura, Shunei",Left,0,0,2,Splitter,BallCalled,,134,1
4,2026/2/5,1,4,齋藤士,Right,"Nakamura, Shunei",Left,0,1,2,Fastball,BallCalled,,143,1
5,2026/2/5,1,5,齋藤士,Right,"Nakamura, Shunei",Left,0,2,2,Fastball,FoulBallFieldable,,144,1
6,2026/2/5,1,6,齋藤士,Right,"Nakamura, Shunei",Left,0,2,2,Splitter,InPlay,Out,128,1
7,2026/2/5,2,1,齋藤士,Right,"Kaneko, Daichi",Right,1,0,0,Slider,BallCalled,,123,1
8,2026/2/5,2,2,齋藤士,Right,"Kaneko, Daichi",Right,1,1,0,Fastball,FoulBallFieldable,,143,1
9,2026/2/5,2,3,齋藤士,Right,"Kaneko, Daichi",Right,1,1,1,Splitter,BallCalled,,131,1
10,2026/2/5,2,4,齋藤士,Right,"Kaneko, Daichi",Right,1,2,1,Fastball,InPlay,Single,142,1
11,2026/2/5,3,1,齋藤士,Right,"Sato, Kanya",Left,1,0,0,Fastball,InPlay,Out,142,1
12,2026/2/5,4,1,齋藤士,Right,"Sakaguchi, Yuta",Right,2,0,0,Fastball,StrikeCalled,,146,1
13,2026/2/5,4,2,齋藤士,Right,"Sakaguchi, Yuta",Right,2,0,1,Fastball,FoulBallFieldable,,146,1
14,2026/2/5,4,3,齋藤士,Right,"Sakaguchi, Yuta",Right,2,0,2,Slider,FoulBallFieldable,,133,1
15,2026/2/5,4,4,齋藤士,Right,"Sakaguchi, Yuta",Right,2,0,2,Fastball,InPlay,Out,146,1
16,2026/2/5,1,1,齋藤士,Right,"Okoshi, Rui",Right,0,0,0,Fastball,FoulBallFieldable,,145,1
17,2026/2/5,1,2,齋藤士,Right,"Okoshi, Rui",Right,0,0,1,Slider,StrikeSwinging,,130,1
18,2026/2/5,1,3,齋藤士,Right,"Okoshi, Rui",Right,0,0,2,Slider,StrikeCalled,Out,128,1
19,2026/2/5,2,1,齋藤士,Right,"Kurosu, Shintaro",Left,1,0,0,Fastball,BallCalled,,145,1
20,2026/2/5,2,2,齋藤士,Right,"Kurosu, Shintaro",Left,1,1,0,Fastball,FoulBallFieldable,,144,1
21,2026/2/5,2,3,齋藤士,Right,"Kurosu, Shintaro",Left,1,1,1,Slider,BallCalled,,124,1
