PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
1,2026/9/18,1,1,越井,Right,,Right,0,0,0,Cutter,BallCalled,130,,
2,2026/9/18,1,2,越井,Right,0,Right,0,1,0,Cutter,StrikeCalled,130,,
3,2026/9/18,1,3,越井,Right,0,Right,0,1,1,Cutter,InPlay,122,Out,
4,2026/9/18,2,1,越井,Right,,Right,1,0,0,Fastball,StrikeCalled,136,,
5,2026/9/18,2,2,越井,Right,,Right,1,0,1,Cutter,BallCalled,126,,
6,2026/9/18,2,3,越井,Right,,Right,1,1,1,Splitter,StrikeCalled,129,,
7,2026/9/18,2,4,越井,Right,,Right,1,1,2,Splitter,BallCalled,124,,
8,2026/9/18,2,5,越井,Right,,Right,1,2,2,Cutter,StrikeSwinging,130,Strikeout,
9,2026/9/18,3,6,越井,Right,,Left,2,0,0,Slider,StrikeCalled,112,,
10,2026/9/18,3,7,越井,Right,,Left,2,0,1,Splitter,StrikeSwinging,129,,
11,2026/9/18,3,8,越井,Right,,Left,2,0,2,Splitter,BallCalled,127,,
12,2026/9/18,3,9,越井,Right,,Left,2,1,2,Splitter,StrikeSwinging,122,Strikeout,
13,2026/9/18,1,1,越井,Right,大平,Right,0,0,0,Fastball,BallCalled,138,,
14,2026/9/18,1,2,越井,Right,大平,Right,0,1,0,Slider,BallCalled,112,,
15,2026/9/18,1,3,越井,Right,大平,Right,0,2,0,Fastball,FoulBallFieldable,137,,
16,2026/9/18,1,4,越井,Right,大平,Right,0,2,1,Slider,BallCalled,109,,
17,2026/9/18,1,5,越井,Right,大平,Right,0,3,1,Fastball,StrikeCalled,139,,
18,2026/9/18,1,6,越井,Right,大平,Right,0,3,2,Fastball,StrikeSwinging,137,Strikeout,
19,2026/9/18,2,1,越井,Right,西谷,Left,1,0,0,Splitter,StrikeCalled,120,,
20,2026/9/18,2,2,越井,Right,西谷,Left,1,0,1,Splitter,StrikeSwinging,130,,
21,2026/9/18,2,3,越井,Right,西谷,Left,1,0,2,Cutter,BallCalled,131,,
22,2026/9/18,2,4,越井,Right,西谷,Left,1,1,2,Fastball,FoulBallFieldable,140,,
23,2026/9/18,2,5,越井,Right,西谷,Left,1,1,2,Splitter,BallCalled,121,,
24,2026/9/18,2,6,越井,Right,西谷,Left,1,2,2,Fastball,FoulBallFieldable,134,,
25,2026/9/18,2,7,越井,Right,西谷,Left,1,2,2,Splitter,StrikeSwinging,132,Strikeout,
26,2026/9/18,3,1,越井,Right,古田,Right,2,0,0,Cutter,StrikeCalled,133,,
27,2026/9/18,3,2,越井,Right,古田,Right,2,0,1,Cutter,BallCalled,131,,
28,2026/9/18,3,3,越井,Right,古田,Right,2,1,1,Fastball,BallCalled,141,,
29,2026/9/18,3,4,越井,Right,古田,Right,2,2,1,Cutter,InPlay,121,Double,
30,2026/9/18,4,1,越井,Right,舟橋,Right,2,0,0,Fastball,InPlay,138,Out,
31,2026/9/18,1,1,越井,Right,吉田壮,Left,0,0,0,Fastball,StrikeCalled,141,,
32,2026/9/18,1,2,越井,Right,吉田壮,Left,0,0,1,Cutter,BallCalled,124,,
33,2026/9/18,1,3,越井,Right,吉田壮,Left,0,1,1,Cutter,BallCalled,133,,
34,2026/9/18,1,4,越井,Right,吉田壮,Left,0,2,1,Cutter,InPlay,132,Out,
35,2026/9/18,2,1,越井,Right,,Right,1,0,0,Cutter,StrikeCalled,127,,
36,2026/9/18,2,2,越井,Right,0,Right,1,0,1,Cutter,InPlay,133,Error,
37,2026/9/18,3,1,越井,Right,池田,Left,1,0,0,Cutter,StrikeCalled,128,,
38,2026/9/18,3,2,越井,Right,池田,Left,1,0,1,Splitter,BallCalled,123,,
39,2026/9/18,3,3,越井,Right,池田,Left,1,1,1,Splitter,StrikeCalled,133,,
40,2026/9/18,3,4,越井,Right,池田,Left,1,1,2,Splitter,BallCalled,122,,
41,2026/9/18,3,5,越井,Right,池田,Left,1,2,2,Splitter,InPlay,129,,
1,2026/9/18,1,1,岡村,Right,津田,Left,0,2,2,Curveball,InPlay,109,Out,
2,2026/9/18,2,1,岡村,Right,金子,Right,1,0,0,Fastball,StrikeCalled,138,,
3,2026/9/18,2,2,岡村,Right,金子,Right,1,0,1,Cutter,StrikeCalled,120,,
4,2026/9/18,2,3,岡村,Right,金子,Right,1,0,2,Fastball,InPlay,139,Out,
5,2026/9/18,3,1,岡村,Right,新井,Left,2,0,0,ChangeUp,BallCalled,130,,
6,2026/9/18,3,2,岡村,Right,新井,Left,2,1,0,Curveball,BallCalled,111,,
7,2026/9/18,3,3,岡村,Right,新井,Left,2,2,0,Fastball,StrikeCalled,139,,
8,2026/9/18,3,4,岡村,Right,新井,Left,2,2,1,Cutter,FoulBallFieldable,129,,
9,2026/9/18,3,5,岡村,Right,新井,Left,2,2,2,ChangeUp,InPlay,125,Out,
10,2026/9/18,1,1,岡村,Right,大平,Right,0,0,0,Fastball,StrikeCalled,140,,
11,2026/9/18,1,2,岡村,Right,大平,Right,0,0,1,Curveball,StrikeSwinging,109,,
12,2026/9/18,1,3,岡村,Right,大平,Right,0,0,2,Fastball,FoulBallFieldable,138,,
13,2026/9/18,1,4,岡村,Right,大平,Right,0,0,2,Fastball,BallCalled,137,,
14,2026/9/18,1,5,岡村,Right,大平,Right,0,1,2,Fastball,BallCalled,140,,
15,2026/9/18,1,6,岡村,Right,大平,Right,0,2,2,Slider,StrikeCalled,118,Strikeout,
16,2026/9/18,2,1,岡村,Right,西谷,Left,1,0,0,Curveball,BallCalled,111,,
17,2026/9/18,2,2,岡村,Right,西谷,Left,1,1,0,ChangeUp,BallCalled,130,,
18,2026/9/18,2,3,岡村,Right,西谷,Left,1,2,0,Cutter,StrikeCalled,127,,
19,2026/9/18,2,4,岡村,Right,西谷,Left,1,2,1,Fastball,StrikeCalled,138,,
20,2026/9/18,2,5,岡村,Right,西谷,Left,1,2,2,ChangeUp,StrikeSwinging,119,Strikeout,
21,2026/9/18,3,1,岡村,Right,舟橋,Right,2,0,0,Slider,BallCalled,117,,
22,2026/9/18,3,2,岡村,Right,舟橋,Right,2,1,0,Slider,InPlay,115,Out,
23,2026/9/18,1,3,岡村,Right,舟橋,Right,0,0,0,ChangeUp,BallCalled,119,,
24,2026/9/18,1,4,岡村,Right,舟橋,Right,0,1,0,ChangeUp,BallCalled,125,,
25,2026/9/18,1,5,岡村,Right,舟橋,Right,0,2,0,Cutter,StrikeSwinging,123,,
26,2026/9/18,1,6,岡村,Right,舟橋,Right,0,2,1,Curveball,StrikeCalled,112,,
27,2026/9/18,1,7,岡村,Right,舟橋,Right,0,2,2,Fastball,BallCalled,141,,
28,2026/9/18,1,8,岡村,Right,舟橋,Right,0,3,2,ChangeUp,StrikeSwinging,118,Out,
29,2026/9/18,2,1,岡村,Right,吉田壮,Left,1,0,0,Fastball,StrikeCalled,137,,
30,2026/9/18,2,2,岡村,Right,吉田壮,Left,1,0,1,ChangeUp,StrikeSwinging,130,,
31,2026/9/18,2,3,岡村,Right,吉田壮,Left,1,0,2,Cutter,FoulBallFieldable,122,,
32,2026/9/18,2,4,岡村,Right,吉田壮,Left,1,0,2,Fastball,BallCalled,140,,
33,2026/9/18,2,5,岡村,Right,吉田壮,Left,1,1,2,Slider,BallCalled,119,,
34,2026/9/18,2,6,岡村,Right,吉田壮,Left,1,2,2,ChangeUp,StrikeCalled,127,Strikeout,
35,2026/9/18,3,1,岡村,Right,,Right,2,0,0,ChangeUp,BallCalled,124,,
36,2026/9/18,3,2,岡村,Right,,Right,2,1,0,Slider,BallCalled,110,,
37,2026/9/18,3,3,岡村,Right,,Right,2,2,0,Fastball,StrikeCalled,,,
38,2026/9/18,3,4,岡村,Right,,Right,2,2,1,ChangeUp,InPlay,118,Out,
39,2026/9/18,1,5,岡村,Right,,Left,0,0,0,ChangeUp,BallCalled,126,,
40,2026/9/18,1,6,岡村,Right,0,Left,0,1,0,ChangeUp,BallCalled,128,,
41,2026/9/18,1,7,岡村,Right,0,Left,0,2,0,Slider,StrikeCalled,120,,
42,2026/9/18,1,8,岡村,Right,0,Left,0,2,1,ChangeUp,BallCalled,128,,
43,2026/9/18,1,9,岡村,Right,0,Left,0,3,1,Slider,BallCalled,112,Walk,
44,2026/9/18,2,1,岡村,Right,,Left,0,0,0,Fastball,FoulBallFieldable,,,
45,2026/9/18,2,2,岡村,Right,,Left,0,0,1,ChangeUp,BallCalled,128,,
46,2026/9/18,2,3,岡村,Right,,Left,0,1,1,Fastball,BallCalled,138,,
47,2026/9/18,2,4,岡村,Right,,Left,0,2,1,Fastball,FoulBallFieldable,,,
48,2026/9/18,2,5,岡村,Right,,Left,0,2,2,Cutter,BallCalled,,,
49,2026/9/18,2,6,岡村,Right,,Left,0,3,2,Fastball,StrikeSwinging,137,,
50,2026/9/18,2,7,岡村,Right,,Left,0,3,2,Cutter,FoulBallFieldable,127,,
51,2026/9/18,2,8,岡村,Right,,Left,0,3,2,ChangeUp,FoulBallFieldable,122,,
52,2026/9/18,2,9,岡村,Right,,Left,0,3,2,Fastball,InPlay,139,Out,
1,2026/9/18,1,1,藪下,Left,1,Right,0,0,0,Fastball,StrikeCalled,130,,
2,2026/9/18,1,2,藪下,Left,1,Right,0,0,1,Fastball,BallCalled,132,,
3,2026/9/18,1,3,藪下,Left,1,Right,0,1,1,Fastball,InPlay,,Out,
4,2026/9/18,2,1,藪下,Left,2,Left,1,0,0,Fastball,StrikeCalled,133,,
5,2026/9/18,2,2,藪下,Left,2,Left,1,0,1,Fastball,FoulBallFieldable,132,,
6,2026/9/18,2,3,藪下,Left,2,Left,1,0,2,Fastball,StrikeCalled,134,Strikeout,
7,2026/9/18,3,1,藪下,Left,3,Left,2,0,0,Fastball,InPlay,134,Out,
8,2026/9/18,1,1,藪下,Left,4,Left,0,0,0,Fastball,InPlay,133,Out,
9,2026/9/18,2,1,藪下,Left,島田,Left,1,0,0,Fastball,BallCalled,133,,
10,2026/9/18,2,2,藪下,Left,島田,Left,1,1,0,Fastball,InPlay,133,,
11,2026/9/18,2,3,藪下,Left,島田,Left,1,1,0,Fastball,InPlay,133,Error,
12,2026/9/18,3,1,藪下,Left,山田,Right,1,0,0,Fastball,StrikeCalled,130,,
13,2026/9/18,3,2,藪下,Left,山田,Right,1,0,1,Slider,BallCalled,120,,
14,2026/9/18,3,3,藪下,Left,山田,Right,1,1,1,Fastball,StrikeSwinging,133,,
15,2026/9/18,3,4,藪下,Left,山田,Right,1,1,2,Fastball,StrikeSwinging,135,Strikeout,
16,2026/9/18,4,1,藪下,Left,7,Left,2,0,0,Fastball,BallCalled,132,,
17,2026/9/18,4,2,藪下,Left,7,Left,2,1,0,Fastball,FoulBallFieldable,133,,
18,2026/9/18,4,3,藪下,Left,7,Left,2,1,1,Slider,BallCalled,120,,
19,2026/9/18,4,4,藪下,Left,7,Left,2,2,1,Slider,BallCalled,119,,
20,2026/9/18,4,5,藪下,Left,7,Left,2,3,1,Fastball,BallCalled,131,Walk,
21,2026/9/18,5,1,藪下,Left,8,Left,2,0,0,Fastball,BallCalled,131,,
22,2026/9/18,5,2,藪下,Left,8,Left,2,1,0,Fastball,InPlay,130,Out,
23,2026/9/18,1,1,藪下,Left,9,Right,0,0,0,Slider,FoulBallFieldable,122,,
24,2026/9/18,1,2,藪下,Left,9,Right,0,0,1,Fastball,FoulBallFieldable,131,,
25,2026/9/18,1,3,藪下,Left,9,Right,0,0,2,Fastball,BallCalled,134,,
26,2026/9/18,1,4,藪下,Left,9,Right,0,1,2,Slider,InPlay,124,Out,
27,2026/9/18,2,1,藪下,Left,1,Left,1,0,0,Fastball,StrikeCalled,139,,
28,2026/9/18,2,2,藪下,Left,1,Left,1,0,1,Fastball,FoulBallFieldable,137,,
29,2026/9/18,2,3,藪下,Left,1,Left,1,0,2,Fastball,BallCalled,137,,
30,2026/9/18,2,4,藪下,Left,1,Left,1,1,2,Fastball,StrikeCalled,135,Strikeout,
31,2026/9/18,3,1,藪下,Left,2,Left,2,0,0,Fastball,StrikeCalled,136,,
32,2026/9/18,3,2,藪下,Left,2,Left,2,0,1,Fastball,InPlay,135,Out,
1,2026/9/18,1,1,森山,Right,1,Right,0,0,0,Splitter,BallCalled,131,,
2,2026/9/18,1,2,森山,Right,1,Right,0,1,0,Fastball,StrikeCalled,137,,
3,2026/9/18,1,3,森山,Right,1,Right,0,1,1,Slider,StrikeCalled,128,,
4,2026/9/18,1,4,森山,Right,1,Right,0,1,2,Splitter,BallCalled,128,,
5,2026/9/18,1,5,森山,Right,1,Right,0,2,2,Fastball,InPlay,139,Error,
6,2026/9/18,2,1,森山,Right,2,Left,0,0,0,Fastball,FoulBallFieldable,136,,
7,2026/9/18,2,2,森山,Right,2,Left,0,0,1,Fastball,FoulBallFieldable,135,,
8,2026/9/18,2,3,森山,Right,2,Left,0,0,2,Fastball,BallCalled,137,,
9,2026/9/18,2,4,森山,Right,2,Left,0,1,2,Splitter,BallCalled,124,,
10,2026/9/18,2,5,森山,Right,2,Left,0,2,2,Fastball,BallCalled,135,,
11,2026/9/18,2,6,森山,Right,2,Left,0,3,2,Fastball,InPlay,134,Out,GroundBall
12,2026/9/18,3,1,森山,Right,3,Left,1,0,0,Curveball,BallCalled,101,,
13,2026/9/18,3,2,森山,Right,3,Left,1,1,0,Fastball,BallCalled,138,,
14,2026/9/18,3,3,森山,Right,3,Left,1,2,0,Fastball,StrikeCalled,136,,
15,2026/9/18,3,4,森山,Right,3,Left,1,2,1,Splitter,BallCalled,125,,
16,2026/9/18,3,5,森山,Right,3,Left,1,3,1,Fastball,FoulBallFieldable,137,,
17,2026/9/18,3,6,森山,Right,3,Left,1,3,2,Fastball,FoulBallFieldable,138,,
18,2026/9/18,3,7,森山,Right,3,Left,1,3,2,Fastball,InPlay,138,Out,FlyBall
19,2026/9/18,4,1,森山,Right,4,Left,2,0,0,Curveball,StrikeCalled,105,,
20,2026/9/18,4,2,森山,Right,4,Left,2,0,1,Fastball,StrikeCalled,138,,
21,2026/9/18,4,3,森山,Right,4,Left,2,0,2,Fastball,StrikeCalled,139,Strikeout,
22,2026/9/18,1,1,森山,Right,5,Right,0,0,0,Fastball,StrikeCalled,139,,
23,2026/9/18,1,2,森山,Right,5,Right,0,0,1,Splitter,BallCalled,131,,
24,2026/9/18,1,3,森山,Right,5,Right,0,1,1,Splitter,InPlay,133,Out,GroundBall
25,2026/9/18,2,1,森山,Right,6,Left,1,0,0,Curveball,BallCalled,104,,
26,2026/9/18,2,2,森山,Right,6,Left,1,1,0,Fastball,StrikeCalled,139,,
27,2026/9/18,2,3,森山,Right,6,Left,1,1,1,Fastball,StrikeCalled,137,,
28,2026/9/18,2,4,森山,Right,6,Left,1,1,2,Fastball,BallCalled,138,,
29,2026/9/18,2,5,森山,Right,6,Left,1,2,2,Splitter,FoulBallFieldable,124,,
