PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,PlayResult,TaggedHitType,RelSpeed,
27,2026/2/20,6,1,宮城,Left,9,Left,2,0,0,Cutter,BallCalled,,,126,
28,2026/2/20,6,2,宮城,Left,9,Left,2,1,0,Fastball,BallCalled,,,139,
29,2026/2/20,6,3,宮城,Left,9,Left,2,2,0,Fastball,InPlay,Out,GroundBall,139,
1,2026/2/20,1,1,矢後,Right,1,Right,0,0,0,Fastball,BallCalled,,,134,
2,2026/2/20,1,2,矢後,Right,1,Right,0,1,0,Fastball,StrikeCalled,,,133,
3,2026/2/20,1,3,矢後,Right,1,Right,0,1,1,Curveball,StrikeSwinging,,,115,
4,2026/2/20,1,4,矢後,Right,1,Right,0,1,2,Fastball,FoulBallFieldable,,,138,
5,2026/2/20,1,5,矢後,Right,1,Right,0,1,2,Curveball,BallCalled,,,113,
6,2026/2/20,1,6,矢後,Right,1,Right,0,2,2,Curveball,BallCalled,,,114,
7,2026/2/20,1,7,矢後,Right,1,Right,0,3,2,Fastball,FoulBallFieldable,,,138,
8,2026/2/20,1,8,矢後,Right,1,Right,0,3,2,Fastball,BallCalled,Walk,,135,
9,2026/2/20,2,1,矢後,Right,12,Left,0,0,0,Fastball,InPlay,Out,FlyBall,136,
10,2026/2/20,3,1,矢後,Right,3,Right,1,0,0,Fastball,BallCalled,,,134,
11,2026/2/20,3,2,矢後,Right,3,Right,1,1,0,Fastball,BallCalled,,,135,
12,2026/2/20,3,3,矢後,Right,3,Right,1,2,0,Splitter,InPlay,Out,FlyBall,137,
13,2026/2/20,4,1,矢後,Right,4,Left,2,0,0,Fastball,StrikeSwinging,,,136,
14,2026/2/20,4,2,矢後,Right,4,Left,2,0,1,Fastball,FoulBallFieldable,,,137,
15,2026/2/20,4,3,矢後,Right,4,Left,2,0,2,Splitter,BallCalled,,,127,
1,2026/2/20,1,4,小松,Right,4,Left,0,1,2,Slider,BallCalled,HitByPitch,,128,
2,2026/2/20,2,1,小松,Right,5,Right,0,0,0,Slider,StrikeCalled,,,130,
3,2026/2/20,2,2,小松,Right,5,Right,0,0,1,Fastball,FoulBallFieldable,,,142,
4,2026/2/20,2,3,小松,Right,5,Right,0,0,2,Cutter,InPlay,Out,GroundBall,135,
5,2026/2/20,3,1,小松,Right,6,Left,2,0,0,Fastball,BallCalled,,,143,
6,2026/2/20,3,2,小松,Right,6,Left,2,1,0,Cutter,StrikeSwinging,,,132,
7,2026/2/20,3,3,小松,Right,6,Left,2,1,1,Cutter,BallCalled,,,131,
8,2026/2/20,3,4,小松,Right,6,Left,2,2,1,Cutter,InPlay,Out,FlyBall,,
1,2026/2/20,1,1,佐宗,Left,7,Right,0,0,0,Fastball,StrikeCalled,,,135,
2,2026/2/20,1,2,佐宗,Left,7,Right,0,0,1,Slider,StrikeCalled,,,119,
3,2026/2/20,1,3,佐宗,Left,7,Right,0,0,2,Fastball,StrikeSwinging,Strikeout,,140,
4,2026/2/20,2,1,佐宗,Left,8,Right,1,0,0,Fastball,StrikeCalled,,,140,
5,2026/2/20,2,2,佐宗,Left,8,Right,1,0,1,Splitter,FoulBallFieldable,,,131,
6,2026/2/20,2,3,佐宗,Left,8,Right,1,0,2,Splitter,BallCalled,,,125,
7,2026/2/20,2,4,佐宗,Left,8,Right,1,1,2,Slider,BallCalled,,,122,
8,2026/2/20,2,5,佐宗,Left,8,Right,1,2,2,Fastball,FoulBallFieldable,,,140,
9,2026/2/20,2,6,佐宗,Left,8,Right,1,2,2,Fastball,BallCalled,,,139,
10,2026/2/20,2,7,佐宗,Left,8,Right,1,3,2,Fastball,InPlay,Out,FlyBall,137,
11,2026/2/20,3,1,佐宗,Left,9,Right,2,0,0,Fastball,BallCalled,,,139,
12,2026/2/20,3,2,佐宗,Left,9,Right,2,1,0,Fastball,FoulBallFieldable,,,138,
13,2026/2/20,3,3,佐宗,Left,9,Right,2,1,1,Fastball,BallCalled,,,138,
14,2026/2/20,3,4,佐宗,Left,9,Right,2,2,1,TwoSeamFastBall,BallCalled,,,135,
15,2026/2/20,3,5,佐宗,Left,9,Right,2,3,1,TwoSeamFastBall,StrikeCalled,,,135,
16,2026/2/20,3,6,佐宗,Left,9,Right,2,3,2,TwoSeamFastBall,InPlay,Out,GroundBall,137,
1,2026/2/20,1,1,齋藤士,Right,1,Right,0,0,0,Fastball,FoulBallFieldable,,,144,
2,2026/2/20,1,2,齋藤士,Right,1,Right,0,0,1,Fastball,StrikeSwinging,,,141,
3,2026/2/20,1,3,齋藤士,Right,1,Right,0,0,2,Fastball,BallCalled,,,144,
4,2026/2/20,1,4,齋藤士,Right,1,Right,0,1,2,Splitter,StrikeSwinging,Strikeout,,133,
5,2026/2/20,2,1,齋藤士,Right,2,Left,1,0,0,Fastball,BallCalled,,,137,
6,2026/2/20,2,2,齋藤士,Right,2,Left,1,1,0,Fastball,FoulBallFieldable,,,148,
7,2026/2/20,2,3,齋藤士,Right,2,Left,1,1,1,Cutter,BallCalled,,,134,
8,2026/2/20,2,4,齋藤士,Right,2,Left,1,2,1,Fastball,InPlay,HomeRun,FlyBall,148,
9,2026/2/20,3,1,齋藤士,Right,3,Right,1,0,0,Fastball,BallCalled,,,144,
10,2026/2/20,3,2,齋藤士,Right,3,Right,1,1,0,Fastball,BallCalled,,,143,
11,2026/2/20,3,3,齋藤士,Right,3,Right,1,2,0,Fastball,StrikeCalled,,,141,
12,2026/2/20,3,4,齋藤士,Right,3,Right,1,2,1,Splitter,BallCalled,,,138,
13,2026/2/20,3,5,齋藤士,Right,3,Right,1,3,1,Fastball,BallCalled,Walk,,146,
14,2026/2/20,4,1,齋藤士,Right,14,Left,1,0,0,Fastball,BallCalled,,,140,
15,2026/2/20,4,2,齋藤士,Right,14,Left,1,1,0,Fastball,StrikeSwinging,,,146,
16,2026/2/20,4,3,齋藤士,Right,14,Left,1,1,1,Fastball,InPlay,Single,FlyBall,,
17,2026/2/20,5,1,齋藤士,Right,5,Right,1,0,0,Splitter,BallCalled,,,135,
18,2026/2/20,5,2,齋藤士,Right,5,Right,1,1,0,Fastball,InPlay,Double,FlyBall,145,
19,2026/2/20,6,1,齋藤士,Right,6,Left,1,0,0,Splitter,StrikeSwinging,,,133,
20,2026/2/20,6,2,齋藤士,Right,6,Left,1,0,1,Splitter,StrikeCalled,,,129,
21,2026/2/20,6,3,齋藤士,Right,6,Left,1,0,2,Fastball,BallCalled,,,146,
22,2026/2/20,6,4,齋藤士,Right,6,Left,1,1,2,Splitter,StrikeSwinging,Strikeout,,133,
23,2026/2/20,7,1,齋藤士,Right,7,Right,2,0,0,Fastball,InPlay,Double,FlyBall,142,
24,2026/2/20,8,1,齋藤士,Right,8,Right,2,0,0,Splitter,BallCalled,,,134,
25,2026/2/20,8,2,齋藤士,Right,8,Right,2,1,0,Fastball,FoulBallFieldable,,,140,
26,2026/2/20,8,3,齋藤士,Right,8,Right,2,1,1,Splitter,StrikeCalled,,,129,
27,2026/2/20,8,4,齋藤士,Right,8,Right,2,1,2,Fastball,InPlay,Out,FlyBall,141,
