PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
1,2026/7/26,1,1,佐宗,Left,井櫻,Left,0,0,0,Fastball,StrikeCalled,140,,
2,2026/7/26,1,2,佐宗,Left,井櫻,Left,0,0,1,Slider,StrikeCalled,128,,
3,2026/7/26,1,3,佐宗,Left,井櫻,Left,0,0,2,Slider,BallCalled,130,,
4,2026/7/26,1,4,佐宗,Left,井櫻,Left,0,1,2,Slider,BallCalled,130,,
5,2026/7/26,1,5,佐宗,Left,井櫻,Left,0,2,2,Fastball,FoulBallFieldable,141,,
6,2026/7/26,1,6,佐宗,Left,井櫻,Left,0,2,2,Fastball,InPlay,143,Single,GroundBall
7,2026/7/26,2,1,佐宗,Left,山根,Right,0,0,0,Fastball,InPlay,140,Out,GroundBall
8,2026/7/26,3,1,佐宗,Left,髙橋海,Right,1,0,0,Fastball,BallCalled,137,,
9,2026/7/26,3,2,佐宗,Left,髙橋海,Right,1,1,0,Fastball,StrikeCalled,137,,
10,2026/7/26,3,3,佐宗,Left,髙橋海,Right,1,1,1,Fastball,BallCalled,141,,
11,2026/7/26,3,4,佐宗,Left,髙橋海,Right,1,2,1,Fastball,StrikeCalled,136,,
12,2026/7/26,3,5,佐宗,Left,髙橋海,Right,1,2,2,TwoSeamFastball,BallCalled,129,,
13,2026/7/26,3,6,佐宗,Left,髙橋海,Right,1,3,2,Fastball,InPlay,139,Double,FlyBall
14,2026/7/26,4,1,佐宗,Left,德丸,Left,1,0,0,Slider,StrikeSwinging,128,,
15,2026/7/26,4,2,佐宗,Left,德丸,Left,1,0,1,Fastball,BallCalled,136,,
16,2026/7/26,4,3,佐宗,Left,德丸,Left,1,1,1,Fastball,FoulBallFieldable,139,,
17,2026/7/26,4,4,佐宗,Left,德丸,Left,1,1,2,Fastball,FoulBallFieldable,140,,
18,2026/7/26,4,5,佐宗,Left,德丸,Left,1,1,2,Slider,StrikeSwinging,128,Strikeout,
