PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,PlayResult,RelSpeed,Runner
1,2026/2/3,1,1,石島,Right,"Suda, Yuki",Left,0,0,0,Slider,BallCalled,,123,
2,2026/2/3,1,2,石島,Right,"Suda, Yuki",Left,0,1,0,Fastball,StrikeCalled,,134,
3,2026/2/3,1,3,石島,Right,"Suda, Yuki",Left,0,1,1,Fastball,InPlay,Out,135,
4,2026/2/3,2,1,石島,Right,"Yamane, Juntaro",Right,1,0,0,Fastball,StrikeCalled,,135,
5,2026/2/3,2,2,石島,Right,"Yamane, Juntaro",Right,1,0,1,Slider,BallCalled,,121,
6,2026/2/3,2,3,石島,Right,"Yamane, Juntaro",Right,1,1,1,Slider,BallCalled,,122,
7,2026/2/3,2,4,石島,Right,"Yamane, Juntaro",Right,1,2,1,Fastball,StrikeCalled,,135,
8,2026/2/3,2,5,石島,Right,"Yamane, Juntaro",Right,1,2,2,Fastball,InPlay,Out,135,
9,2026/2/3,3,1,石島,Right,"Okanishi, Yuya",Left,2,0,0,Fastball,StrikeCalled,,135,
10,2026/2/3,3,2,石島,Right,"Okanishi, Yuya",Left,2,0,1,Fastball,StrikeCalled,,136,
11,2026/2/3,3,3,石島,Right,"Okanishi, Yuya",Left,2,0,2,Slider,FoulBallFieldable,,126,
12,2026/2/3,3,4,石島,Right,"Okanishi, Yuya",Left,2,0,2,Fastball,BallCalled,,132,
13,2026/2/3,3,5,石島,Right,"Okanishi, Yuya",Left,2,1,2,Fastball,StrikeSwinging,Out,136,
14,2026/2/3,1,1,石島,Right,"Terao, Kensei",Right,0,0,0,Slider,BallCalled,,126,
15,2026/2/3,1,2,石島,Right,"Terao, Kensei",Right,0,1,0,Slider,FoulBallFieldable,,125,
16,2026/2/3,1,3,石島,Right,"Terao, Kensei",Right,0,1,1,Slider,BallCalled,,123,
17,2026/2/3,1,4,石島,Right,"Terao, Kensei",Right,0,2,1,Fastball,BallCalled,,135,
18,2026/2/3,1,5,石島,Right,"Terao, Kensei",Right,0,3,1,Fastball,InPlay,Error,135,
19,2026/2/3,2,1,石島,Right,"Ogata, Mikito",Left,0,0,0,Fastball,StrikeCalled,,135,1
20,2026/2/3,2,2,石島,Right,"Ogata, Mikito",Left,0,0,1,Fastball,InPlay,Single,134,1
21,2026/2/3,3,1,石島,Right,"Takahashi, Hiroto",Right,0,0,0,Slider,BallCalled,,124,1.3
22,2026/2/3,3,2,石島,Right,"Takahashi, Hiroto",Right,0,1,0,Slider,InPlay,Out,123,1.3
23,2026/2/3,4,1,石島,Right,"Sato, Kanya",Left,2,0,0,Fastball,BallCalled,,137,3
24,2026/2/3,4,2,石島,Right,"Sato, Kanya",Left,2,1,0,Fastball,InPlay,Out,137,3
25,2026/2/3,1,1,石島,Right,"Tokumaru, Kaisei",Left,0,0,0,Slider,BallCalled,,127,
26,2026/2/3,1,2,石島,Right,"Tokumaru, Kaisei",Left,0,1,0,Fastball,StrikeCalled,,137,
27,2026/2/3,1,3,石島,Right,"Tokumaru, Kaisei",Left,0,1,1,Fastball,BallCalled,,135,
28,2026/2/3,1,4,石島,Right,"Tokumaru, Kaisei",Left,0,2,1,Fastball,StrikeCalled,,135,
29,2026/2/3,1,5,石島,Right,"Tokumaru, Kaisei",Left,0,2,2,Fastball,BallCalled,,136,
30,2026/2/3,1,6,石島,Right,"Tokumaru, Kaisei",Left,0,3,2,Fastball,FoulBallFieldable,,134,
31,2026/2/3,1,7,石島,Right,"Tokumaru, Kaisei",Left,0,3,2,Slider,BallCalled,Undefined,127,
32,2026/2/3,2,1,石島,Right,"Yuasa, Ousuke",Right,0,0,0,Slider,BallCalled,,125,1
33,2026/2/3,2,2,石島,Right,"Yuasa, Ousuke",Right,0,1,0,Fastball,StrikeCalled,,135,1
34,2026/2/3,2,3,石島,Right,"Yuasa, Ousuke",Right,0,1,1,Fastball,BallCalled,,134,1
35,2026/2/3,2,4,石島,Right,"Yuasa, Ousuke",Right,0,2,1,Fastball,StrikeSwinging,,134,1
36,2026/2/3,2,5,石島,Right,"Yuasa, Ousuke",Right,0,2,2,Fastball,FoulBallFieldable,,134,1
37,2026/2/3,2,6,石島,Right,"Yuasa, Ousuke",Right,0,2,2,Fastball,BallCalled,,137,1
38,2026/2/3,2,7,石島,Right,"Yuasa, Ousuke",Right,0,3,2,Fastball,FoulBallFieldable,,132,1
39,2026/2/3,2,8,石島,Right,"Yuasa, Ousuke",Right,0,3,2,Fastball,BallCalled,Undefined,135,1
