PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
1,2026/8/20,1,1,矢後,Right,渡邊康,Right,0,0,0,Fastball,BallCalled,,,
2,2026/8/20,1,2,矢後,Right,渡邊康,Right,0,1,0,Fastball,BallCalled,,,
3,2026/8/20,1,3,矢後,Right,渡邊康,Right,0,2,0,Fastball,InPlay,,Out,GroundBall
4,2026/8/20,2,1,矢後,Right,横井,Right,1,0,0,Fastball,StrikeCalled,,,
5,2026/8/20,2,2,矢後,Right,横井,Right,1,0,1,Fastball,BallCalled,,,
6,2026/8/20,2,3,矢後,Right,横井,Right,1,1,1,Fastball,BallCalled,,,
7,2026/8/20,2,4,矢後,Right,横井,Right,1,2,1,Fastball,FoulBallFieldable,,,
8,2026/8/20,2,5,矢後,Right,横井,Right,1,2,2,Fastball,StrikeSwinging,,Out,
9,2026/8/20,3,1,矢後,Right,西谷,Left,2,0,0,Fastball,InPlay,,Out,Popup
1,2026/8/20,1,1,岩﨑龍,Left,新井,Left,0,0,0,Fastball,BallCalled,,,
2,2026/8/20,1,2,岩﨑龍,Left,新井,Left,0,1,0,ChangeUp,InPlay,,Single,GroundBall
3,2026/8/20,2,1,岩﨑龍,Left,片山,Left,0,0,0,Fastball,BallCalled,,,
4,2026/8/20,2,2,岩﨑龍,Left,片山,Left,0,1,0,Fastball,InPlay,,Sacrifice,GroundBall
5,2026/8/20,3,1,岩﨑龍,Left,高崎,Right,1,0,0,Curveball,StrikeCalled,,,
6,2026/8/20,3,2,岩﨑龍,Left,高崎,Right,1,0,1,Curveball,BallCalled,,,
7,2026/8/20,3,3,岩﨑龍,Left,高崎,Right,1,1,1,Cutter,StrikeSwinging,,,
8,2026/8/20,3,4,岩﨑龍,Left,高崎,Right,1,1,2,ChangeUp,FoulBallFieldable,,,
9,2026/8/20,3,5,岩﨑龍,Left,高崎,Right,1,1,2,Fastball,StrikeSwinging,,Out,
10,2026/8/20,4,1,岩﨑龍,Left,島田,Left,2,0,0,ChangeUp,StrikeCalled,,,
11,2026/8/20,4,2,岩﨑龍,Left,島田,Left,2,0,1,Fastball,StrikeCalled,,,
12,2026/8/20,4,3,岩﨑龍,Left,島田,Left,2,0,2,Fastball,InPlay,,Out,GroundBall
1,2026/8/20,1,1,矢後,Right,山元,Right,0,0,0,Fastball,InPlay,,Out,GroundBall
2,2026/8/20,2,1,矢後,Right,古田,Right,1,0,0,Fastball,BallCalled,,,
3,2026/8/20,2,2,矢後,Right,古田,Right,1,1,0,Fastball,BallCalled,,,
4,2026/8/20,2,3,矢後,Right,古田,Right,1,2,0,Fastball,StrikeCalled,,,
5,2026/8/20,2,4,矢後,Right,古田,Right,1,2,1,Fastball,FoulBallFieldable,,,
6,2026/8/20,2,5,矢後,Right,古田,Right,1,2,2,Curveball,StrikeCalled,,Strikeout,
7,2026/8/20,3,1,矢後,Right,箭原,Left,2,0,0,Fastball,BallCalled,,,
8,2026/8/20,3,2,矢後,Right,箭原,Left,2,1,0,Fastball,BallCalled,,,
9,2026/8/20,3,3,矢後,Right,箭原,Left,2,2,0,Fastball,BallCalled,,,
10,2026/8/20,3,4,矢後,Right,箭原,Left,2,3,0,Fastball,StrikeCalled,,,
11,2026/8/20,3,5,矢後,Right,箭原,Left,2,3,1,Fastball,BallCalled,,Walk,
12,2026/8/20,4,1,矢後,Right,村野,Left,2,0,0,Fastball,StrikeCalled,,,
13,2026/8/20,4,2,矢後,Right,村野,Left,2,0,1,Fastball,StrikeCalled,,,
14,2026/8/20,4,3,矢後,Right,村野,Left,2,0,2,Curveball,InPlay,,Single,GroundBall
1,2026/8/20,1,1,岩﨑龍,Left,國光,Left,0,0,0,Curveball,BallCalled,,,
2,2026/8/20,1,2,岩﨑龍,Left,國光,Left,0,1,0,Fastball,StrikeCalled,,,
3,2026/8/20,1,3,岩﨑龍,Left,國光,Left,0,1,1,Fastball,InPlay,,Out,GroundBall
4,2026/8/20,2,1,岩﨑龍,Left,荘川,Left,1,0,0,Curveball,BallCalled,,,
5,2026/8/20,2,2,岩﨑龍,Left,荘川,Left,1,1,0,Fastball,BallCalled,,,
6,2026/8/20,2,3,岩﨑龍,Left,荘川,Left,1,2,0,ChangeUp,InPlay,,Out,GroundBall
7,2026/8/20,3,1,岩﨑龍,Left,今野,Right,2,0,0,Fastball,InPlay,,Out,GroundBall
1,2026/8/20,1,1,矢後,Right,長渡,Right,0,0,0,Fastball,InPlay,,Out,GroundBall
2,2026/8/20,2,1,矢後,Right,前田,Left,1,0,0,ChangeUp,InPlay,,Out,FlyBall
3,2026/8/20,3,1,矢後,Right,渡邊康,Right,2,0,0,Fastball,BallCalled,,,
4,2026/8/20,3,2,矢後,Right,渡邊康,Right,2,1,0,Fastball,BallCalled,,,
5,2026/8/20,3,3,矢後,Right,渡邊康,Right,2,2,0,Fastball,BallCalled,,,
6,2026/8/20,3,4,矢後,Right,渡邊康,Right,2,3,0,Fastball,BallCalled,,Walk,
7,2026/8/20,4,1,矢後,Right,横井,Right,2,0,0,Fastball,StrikeCalled,,,
8,2026/8/20,4,2,矢後,Right,横井,Right,2,0,1,Fastball,FoulBallFieldable,,,
9,2026/8/20,4,3,矢後,Right,横井,Right,2,0,2,Fastball,StrikeSwinging,,Out,
1,2026/8/20,1,1,岩﨑龍,Left,佐藤拓,Right,0,0,0,Fastball,BallCalled,,,
2,2026/8/20,1,2,岩﨑龍,Left,佐藤拓,Right,0,1,0,Fastball,InPlay,,Out,Popup
3,2026/8/20,2,1,岩﨑龍,Left,笠尾,Right,1,0,0,ChangeUp,InPlay,,Single,GroundBall
4,2026/8/20,3,1,岩﨑龍,Left,新井,Left,1,0,0,Fastball,StrikeCalled,,,
5,2026/8/20,3,2,岩﨑龍,Left,新井,Left,1,0,1,Fastball,InPlay,,Out,Popup
6,2026/8/20,4,1,岩﨑龍,Left,片山,Left,2,0,0,Fastball,BallCalled,,,
7,2026/8/20,4,2,岩﨑龍,Left,片山,Left,2,1,0,Fastball,BallCalled,,,
8,2026/8/20,4,3,岩﨑龍,Left,片山,Left,2,2,0,Fastball,BallCalled,,,
9,2026/8/20,4,4,岩﨑龍,Left,片山,Left,2,3,0,Fastball,BallCalled,,Walk,
10,2026/8/20,5,1,岩﨑龍,Left,高崎,Right,2,0,0,Curveball,StrikeCalled,,,
11,2026/8/20,5,2,岩﨑龍,Left,高崎,Right,2,0,1,Fastball,FoulBallFieldable,,,
12,2026/8/20,5,3,岩﨑龍,Left,高崎,Right,2,0,2,Fastball,BallCalled,,,
13,2026/8/20,5,4,岩﨑龍,Left,高崎,Right,2,1,2,ChangeUp,InPlay,,Out,GroundBall
1,2026/8/20,1,1,矢後,Right,西谷,Left,0,0,0,ChangeUp,InPlay,,Out,FlyBall
2,2026/8/20,2,1,矢後,Right,山元,Right,1,0,0,Fastball,StrikeCalled,,,
3,2026/8/20,2,2,矢後,Right,山元,Right,1,0,1,Fastball,InPlay,,Out,GroundBall
4,2026/8/20,3,1,矢後,Right,古田,Right,2,0,0,Fastball,StrikeCalled,,,
5,2026/8/20,3,2,矢後,Right,古田,Right,2,0,1,Slider,BallCalled,,,
6,2026/8/20,3,3,矢後,Right,古田,Right,2,1,1,Fastball,BallCalled,,,
7,2026/8/20,3,4,矢後,Right,古田,Right,2,2,1,Fastball,StrikeCalled,,,
8,2026/8/20,3,5,矢後,Right,古田,Right,2,2,2,Fastball,BallCalled,,,
9,2026/8/20,3,6,矢後,Right,古田,Right,2,3,2,Fastball,InPlay,,Undefined,
10,2026/8/20,4,1,矢後,Right,箭原,Left,2,0,0,ChangeUp,BallCalled,,,
11,2026/8/20,4,2,矢後,Right,箭原,Left,2,1,0,Fastball,InPlay,,Single,FlyBall
12,2026/8/20,5,1,矢後,Right,村野,Left,2,0,0,Fastball,StrikeCalled,,,
