PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,
1,2026/7/29,1,1,小松一,Right,井櫻,Left,0,0,0,Fastball,StrikeCalled,,,,
2,2026/7/29,1,2,小松一,Right,井櫻,Left,0,0,1,Fastball,FoulBallFieldable,142,,,
3,2026/7/29,1,3,小松一,Right,井櫻,Left,0,0,2,Fastball,FoulBallFieldable,141,,,
4,2026/7/29,1,4,小松一,Right,井櫻,Left,0,0,2,Splitter,BallCalled,130,,,
5,2026/7/29,1,5,小松一,Right,井櫻,Left,0,1,2,Splitter,BallCalled,127,,,
6,2026/7/29,1,6,小松一,Right,井櫻,Left,0,2,2,Fastball,FoulBallFieldable,139,,,
7,2026/7/29,1,7,小松一,Right,井櫻,Left,0,2,2,Fastball,StrikeCalled,134,Strikeout,,
8,2026/7/29,2,1,小松一,Right,髙橋海,Right,1,0,0,Fastball,StrikeCalled,142,,,
9,2026/7/29,2,2,小松一,Right,髙橋海,Right,1,0,1,Cutter,BallCalled,131,,,
10,2026/7/29,2,3,小松一,Right,髙橋海,Right,1,1,1,Fastball,BallCalled,141,,,
11,2026/7/29,2,4,小松一,Right,髙橋海,Right,1,2,1,Fastball,FoulBallFieldable,141,,,
12,2026/7/29,2,5,小松一,Right,髙橋海,Right,1,2,2,Cutter,StrikeSwinging,141,Strikeout,,
13,2026/7/29,3,1,小松一,Right,尾形,Left,2,0,0,Fastball,BallCalled,139,,,
14,2026/7/29,3,2,小松一,Right,尾形,Left,2,1,0,Fastball,FoulBallFieldable,137,,,
15,2026/7/29,3,3,小松一,Right,尾形,Left,2,1,1,Fastball,StrikeCalled,139,Single,GroundBall,1
16,2026/7/29,4,1,小松一,Right,寺尾,Right,2,0,0,Fastball,StrikeSwinging,137,,,
17,2026/7/29,4,2,小松一,Right,寺尾,Right,2,0,1,Fastball,BallCalled,138,,,
18,2026/7/29,4,3,小松一,Right,寺尾,Right,2,1,1,Fastball,FoulBallFieldable,139,,,
19,2026/7/29,4,4,小松一,Right,寺尾,Right,2,1,2,Cutter,InPlay,133,Single,GroundBall,"1,2"
20,2026/7/29,5,1,小松一,Right,德丸,Left,2,0,0,Cutter,BallCalled,123,,,
21,2026/7/29,5,2,小松一,Right,德丸,Left,2,1,0,Fastball,InPlay,138,Single,GroundBall,"2,3"
22,2026/7/29,6,1,小松一,Right,山根,Right,2,0,0,Fastball,InPlay,141,Out,GroundBall,
1,2026/7/29,1,1,佐宗,Left,山本,Left,0,0,0,Fastball,BallCalled,143,,,
2,2026/7/29,1,2,佐宗,Left,山本,Left,0,1,0,Fastball,StrikeCalled,143,,,
3,2026/7/29,1,3,佐宗,Left,山本,Left,0,1,1,Fastball,StrikeCalled,144,,,
4,2026/7/29,1,4,佐宗,Left,山本,Left,0,1,2,Fastball,BallCalled,143,,,
5,2026/7/29,1,5,佐宗,Left,山本,Left,0,2,2,Fastball,InPlay,143,Out,GroundBall,
6,2026/7/29,2,1,佐宗,Left,坂口,Right,1,0,0,Fastball,StrikeCalled,143,,,
7,2026/7/29,2,2,佐宗,Left,坂口,Right,1,0,1,Splitter,BallCalled,127,,,
8,2026/7/29,2,3,佐宗,Left,坂口,Right,1,1,1,Fastball,BallCalled,142,,,
9,2026/7/29,2,4,佐宗,Left,坂口,Right,1,2,1,Fastball,InPlay,140,Out,GroundBall,
10,2026/7/29,3,1,佐宗,Left,川尻,Right,2,0,0,Slider,BallCalled,127,,,
11,2026/7/29,3,2,佐宗,Left,川尻,Right,2,1,0,Slider,BallCalled,128,,,
12,2026/7/29,3,3,佐宗,Left,川尻,Right,2,2,0,Slider,BallCalled,127,,,
13,2026/7/29,3,4,佐宗,Left,川尻,Right,2,3,0,Fastball,FoulBallFieldable,139,,,
14,2026/7/29,3,5,佐宗,Left,川尻,Right,2,3,1,Slider,InPlay,128,Single,LineDrive,1
15,2026/7/29,4,1,佐宗,Left,井櫻,Left,2,0,0,Cutter,InPlay,136,Out,GroundBall,
1,2026/7/29,1,1,小松一,Right,髙橋海,Right,0,0,0,Cutter,BallCalled,127,,,
2,2026/7/29,1,2,小松一,Right,髙橋海,Right,0,1,0,Cutter,StrikeCalled,131,,,
3,2026/7/29,1,3,小松一,Right,髙橋海,Right,0,1,1,Fastball,BallCalled,137,,,
4,2026/7/29,1,4,小松一,Right,髙橋海,Right,0,2,1,Fastball,FoulBallFieldable,135,,,
5,2026/7/29,1,5,小松一,Right,髙橋海,Right,0,2,2,Splitter,FoulBallFieldable,125,,,
6,2026/7/29,1,6,小松一,Right,髙橋海,Right,0,2,2,Cutter,InPlay,131,Single,LineDrive,1
7,2026/7/29,2,1,小松一,Right,尾形,Left,0,0,0,Splitter,BallCalled,134,,,
8,2026/7/29,2,2,小松一,Right,尾形,Left,0,1,0,Cutter,BallCalled,125,,,
9,2026/7/29,2,3,小松一,Right,尾形,Left,0,2,0,Fastball,BallCalled,136,,,
10,2026/7/29,2,4,小松一,Right,尾形,Left,0,3,0,Fastball,StrikeCalled,138,,,
11,2026/7/29,2,5,小松一,Right,尾形,Left,0,3,1,Fastball,BallCalled,138,Walk,,"1,2"
12,2026/7/29,3,1,小松一,Right,寺尾,Right,0,0,0,Fastball,BallCalled,137,,,
13,2026/7/29,3,2,小松一,Right,寺尾,Right,0,1,0,Splitter,BallCalled,131,,,
14,2026/7/29,3,3,小松一,Right,寺尾,Right,0,2,0,Fastball,InPlay,139,Single,FlyBall,"1,2,3"
15,2026/7/29,4,1,小松一,Right,德丸,Left,0,0,0,Fastball,StrikeCalled,138,,,
16,2026/7/29,4,2,小松一,Right,德丸,Left,0,0,1,Splitter,InPlay,133,Out,FlyBall,"1,2"
17,2026/7/29,5,1,小松一,Right,山根,Right,2,0,0,Fastball,BallCalled,135,,,
18,2026/7/29,5,2,小松一,Right,山根,Right,2,1,0,Fastball,InPlay,137,Out,GroundBall,
1,2026/7/29,1,1,佐宗,Left,大内,Left,0,0,0,Slider,FoulBallFieldable,127,,,
2,2026/7/29,1,2,佐宗,Left,大内,Left,0,0,1,Fastball,BallCalled,,,,
3,2026/7/29,1,3,佐宗,Left,大内,Left,0,1,1,Fastball,StrikeCalled,140,,,
4,2026/7/29,1,4,佐宗,Left,大内,Left,0,1,2,Fastball,BallCalled,139,,,
5,2026/7/29,1,5,佐宗,Left,大内,Left,0,2,2,Fastball,StrikeSwinging,143,Strikeout,,
6,2026/7/29,2,1,佐宗,Left,坂口,Right,1,0,0,Slider,BallCalled,125,,,
7,2026/7/29,2,2,佐宗,Left,坂口,Right,1,1,0,Fastball,InPlay,140,Out,LineDrive,
8,2026/7/29,3,1,佐宗,Left,尾形,Left,2,0,0,Fastball,StrikeCalled,141,,,
9,2026/7/29,3,2,佐宗,Left,尾形,Left,2,0,1,Slider,BallCalled,125,,,
10,2026/7/29,3,3,佐宗,Left,尾形,Left,2,1,1,Fastball,FoulBallFieldable,141,,,
11,2026/7/29,3,4,佐宗,Left,尾形,Left,2,1,2,Fastball,StrikeSwinging,141,Strikeout,,
1,2026/7/29,1,1,香西,Left,中村俊,Left,0,0,0,Cutter,StrikeCalled,,,,
2,2026/7/29,1,2,香西,Left,中村俊,Left,0,0,1,Slider,BallCalled,115,,,
