PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,
1,2026/8/9,1,1,矢後,Right,野田,Left,0,0,0,Fastball,BallCalled,,,,
2,2026/8/9,1,2,矢後,Right,野田,Left,0,1,0,Fastball,StrikeCalled,,,,
3,2026/8/9,1,3,矢後,Right,野田,Left,0,1,1,Fastball,FoulBallFieldable,,,,
4,2026/8/9,1,4,矢後,Right,野田,Left,0,1,2,ChangeUp,BallCalled,,,,
5,2026/8/9,1,5,矢後,Right,野田,Left,0,2,2,Fastball,BallCalled,,,,
6,2026/8/9,1,6,矢後,Right,野田,Left,0,3,2,Fastball,BallCalled,,Walk,,
7,2026/8/9,2,1,矢後,Right,渡邊康,Right,0,0,0,Fastball,BallCalled,,,,
8,2026/8/9,2,2,矢後,Right,渡邊康,Right,0,1,0,Fastball,StrikeCalled,,,,
9,2026/8/9,2,3,矢後,Right,渡邊康,Right,0,1,1,Fastball,BallCalled,,,,
10,2026/8/9,2,4,矢後,Right,渡邊康,Right,0,2,1,Fastball,BallCalled,,,,
11,2026/8/9,2,5,矢後,Right,渡邊康,Right,0,3,1,Fastball,StrikeCalled,,,,
12,2026/8/9,2,6,矢後,Right,渡邊康,Right,0,3,2,Fastball,InPlay,,Out,GroundBall,
13,2026/8/9,3,1,矢後,Right,西谷,Left,1,0,0,Curveball,BallCalled,,,,
14,2026/8/9,3,2,矢後,Right,西谷,Left,1,1,0,ChangeUp,FoulBallFieldable,,,,
15,2026/8/9,3,3,矢後,Right,西谷,Left,1,1,1,Curveball,BallCalled,,,,
16,2026/8/9,3,4,矢後,Right,西谷,Left,1,2,1,Fastball,StrikeCalled,,,,
17,2026/8/9,3,5,矢後,Right,西谷,Left,1,2,2,Fastball,StrikeSwinging,,Strikeout,,
18,2026/8/9,4,1,矢後,Right,山元,Right,2,0,0,Curveball,StrikeCalled,,,,
19,2026/8/9,4,2,矢後,Right,山元,Right,2,0,1,Curveball,BallCalled,,,,
20,2026/8/9,4,3,矢後,Right,山元,Right,2,1,1,Curveball,StrikeCalled,,,,
21,2026/8/9,4,4,矢後,Right,山元,Right,2,1,2,Curveball,InPlay,,Out,GroundBall,
1,2026/8/9,1,1,岩﨑龍,Left,新井,Left,0,0,0,Fastball,BallCalled,,,,
2,2026/8/9,1,2,岩﨑龍,Left,新井,Left,0,1,0,Fastball,InPlay,,Out,GroundBall,
3,2026/8/9,2,1,岩﨑龍,Left,高崎,Right,1,0,0,Fastball,FoulBallFieldable,,,,
4,2026/8/9,2,2,岩﨑龍,Left,高崎,Right,1,0,1,Curveball,BallCalled,,,,
5,2026/8/9,2,3,岩﨑龍,Left,高崎,Right,1,1,1,Cutter,BallCalled,,,,
6,2026/8/9,2,4,岩﨑龍,Left,高崎,Right,1,2,1,Fastball,StrikeCalled,,,,
7,2026/8/9,2,5,岩﨑龍,Left,高崎,Right,1,2,2,Cutter,BallCalled,,,,
8,2026/8/9,2,6,岩﨑龍,Left,高崎,Right,1,3,2,Cutter,FoulBallFieldable,,,,
9,2026/8/9,2,7,岩﨑龍,Left,高崎,Right,1,3,2,Fastball,BallCalled,,Walk,,
