PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,,
11,2026/7/19,3,3,千葉,Left,津田,Left,2,1,1,Slider,StrikeCalled,126,,,,
12,2026/7/19,3,4,千葉,Left,津田,Left,2,1,2,Slider,InPlay,127,Single,GroundBall,,
13,2026/7/19,4,1,千葉,Left,黒須,Left,2,0,0,,StrikeCalled,122,,,,
14,2026/7/19,4,2,千葉,Left,黒須,Left,2,0,1,Curveball,StrikeCalled,103,,,,
15,2026/7/19,4,3,千葉,Left,黒須,Left,2,0,2,Slider,InPlay,105,Single,GroundBall,,
16,2026/7/19,5,1,千葉,Left,中村吏,Right,2,0,0,Fastball,BallCalled,128,,,,
17,2026/7/19,5,2,千葉,Left,中村吏,Right,2,1,0,ChangeUp,StrikeCalled,125,,,,
18,2026/7/19,5,3,千葉,Left,中村吏,Right,2,1,1,Curveball,StrikeCalled,95,,,,
19,2026/7/19,5,4,千葉,Left,中村吏,Right,2,1,2,ChangeUp,BallCalled,124,,,,
20,2026/7/19,5,5,千葉,Left,中村吏,Right,2,2,2,Fastball,BallCalled,131,,,,
21,2026/7/19,5,6,千葉,Left,中村吏,Right,2,3,2,Fastball,InPlay,124,Out,FlyBall,,
1,2026/7/19,1,1,安東,Right,荘川,Left,0,0,0,ChangeUp,FoulBallFieldable,-,,,,
2,2026/7/19,1,2,安東,Right,荘川,Left,0,0,1,ChangeUp,StrikeCalled,121,,,,
3,2026/7/19,1,3,安東,Right,荘川,Left,0,0,2,,InPlay,127,Out,GroundBall,,
4,2026/7/19,2,1,安東,Right,江﨑,Left,1,0,0,ChangeUp,BallCalled,123,,,,
5,2026/7/19,2,2,安東,Right,江﨑,Left,1,1,0,ChangeUp,BallCalled,122,,,,
6,2026/7/19,2,3,安東,Right,江﨑,Left,1,2,0,Fastball,InPlay,132,Out,LineDrive,,
7,2026/7/19,3,1,安東,Right,湯浅,Right,2,0,0,Fastball,StrikeCalled,134,,,,
8,2026/7/19,3,2,安東,Right,湯浅,Right,2,0,1,Cutter,StrikeCalled,-,,,,
9,2026/7/19,3,3,安東,Right,湯浅,Right,2,0,2,,InPlay,127,Out,GroundBall,,
1,2026/7/19,1,1,千葉,Left,大平,Right,0,0,0,Fastball,InPlay,123,Double,FlyBall,,
2,2026/7/19,2,1,千葉,Left,片岡,Left,0,0,0,Curveball,BallCalled,103,,,,
3,2026/7/19,2,2,千葉,Left,片岡,Left,0,1,0,Fastball,BallCalled,121,,,,
4,2026/7/19,2,3,千葉,Left,片岡,Left,0,2,0,Fastball,StrikeCalled,124,,,,
5,2026/7/19,2,4,千葉,Left,片岡,Left,0,2,1,Fastball,BallCalled,124,,,,
6,2026/7/19,2,5,千葉,Left,片岡,Left,0,3,1,Curveball,StrikeCalled,107,,,,
7,2026/7/19,2,6,千葉,Left,片岡,Left,0,3,2,Fastball,InPlay,129,Out,FlyBall,,
8,2026/7/19,3,1,千葉,Left,渡邊康,Right,1,0,0,Curveball,FoulBallFieldable,102,,,,
9,2026/7/19,3,2,千葉,Left,渡邊康,Right,1,0,1,ChangeUp,BallCalled,112,,,,
10,2026/7/19,3,3,千葉,Left,渡邊康,Right,1,1,1,,InPlay,127,Single,LineDrive,,
11,2026/7/19,4,1,千葉,Left,茨木,Left,1,0,0,Fastball,StrikeCalled,129,,,,
