PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,
1,2026/8/14,1,1,福山,Right,新井,Left,0,0,0,Slider,StrikeCalled,,,,
2,2026/8/14,1,2,福山,Right,新井,Left,0,0,1,Fastball,BallCalled,,,,
3,2026/8/14,1,3,福山,Right,新井,Left,0,1,1,Fastball,StrikeCalled,,,,
4,2026/8/14,1,4,福山,Right,新井,Left,0,1,2,Fastball,InPlay,,Single,GroundBall,
5,2026/8/14,2,1,福山,Right,野田,Left,0,0,0,Fastball,InPlay,,Sacrifice,Bunt,
6,2026/8/14,3,1,福山,Right,永田,Right,1,0,0,Curveball,InPlay,,Single,LineDrive,
7,2026/8/14,4,1,福山,Right,山元,Right,1,0,0,Fastball,FoulBallFieldable,,,,
8,2026/8/14,4,2,福山,Right,山元,Right,1,0,1,Fastball,StrikeCalled,,,,
9,2026/8/14,4,3,福山,Right,山元,Right,1,0,2,Fastball,BallCalled,,,,
10,2026/8/14,4,4,福山,Right,山元,Right,1,1,2,Slider,BallCalled,,,,
11,2026/8/14,4,5,福山,Right,山元,Right,1,2,2,Fastball,BallCalled,,,,
12,2026/8/14,4,6,福山,Right,山元,Right,1,3,2,ChangeUp,BallCalled,,HitByPitch,,
13,2026/8/14,5,1,福山,Right,茨木,Left,1,0,0,ChangeUp,StrikeCalled,,,,
14,2026/8/14,5,2,福山,Right,茨木,Left,1,0,1,Fastball,InPlay,,Sacrifice,FlyBall,
15,2026/8/14,6,1,福山,Right,高崎,Right,2,0,0,Fastball,StrikeCalled,,,,
16,2026/8/14,1,2,福山,Right,高崎,Right,0,0,0,Fastball,StrikeCalled,,,,
17,2026/8/14,1,3,福山,Right,高崎,Right,0,0,1,Curveball,BallCalled,,,,
18,2026/8/14,1,4,福山,Right,高崎,Right,0,1,1,Curveball,StrikeCalled,,,,
19,2026/8/14,1,5,福山,Right,高崎,Right,0,1,2,Curveball,BallCalled,,,,
20,2026/8/14,1,6,福山,Right,高崎,Right,0,2,2,Slider,BallCalled,,,,
21,2026/8/14,1,7,福山,Right,高崎,Right,0,3,2,Fastball,BallCalled,,Walk,,
22,2026/8/14,2,1,福山,Right,荘川,Left,0,0,0,Fastball,InPlay,,Single,FlyBall,
23,2026/8/14,3,1,福山,Right,渥美,Left,0,0,0,ChangeUp,StrikeSwinging,,,,
24,2026/8/14,3,2,福山,Right,渥美,Left,0,0,1,Slider,BallCalled,,,,
25,2026/8/14,3,3,福山,Right,渥美,Left,0,1,1,ChangeUp,InPlay,,Single,GroundBall,
