PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
7,2026/7/12,2,5,毛木,Left,黒須,Left,0,2,2,Fastball,InPlay,121,Single,LineDrive
8,2026/7/12,3,1,毛木,Left,箭原,Left,0,0,0,Fastball,BallCalled,114,,
9,2026/7/12,3,2,毛木,Left,箭原,Left,0,1,0,Fastball,InPlay,118,Out,GroundBall
10,2026/7/12,4,1,毛木,Left,片岡,Left,1,0,0,Fastball,BallCalled,,,
11,2026/7/12,4,2,毛木,Left,片岡,Left,1,1,0,Slider,BallCalled,99,,
12,2026/7/12,4,3,毛木,Left,片岡,Left,1,2,0,Fastball,FoulBallFieldable,121,,
13,2026/7/12,4,4,毛木,Left,片岡,Left,1,2,1,Slider,StrikeCalled,100,,
14,2026/7/12,4,5,毛木,Left,片岡,Left,1,2,2,Slider,BallCalled,99,,
15,2026/7/12,4,6,毛木,Left,片岡,Left,1,3,2,Fastball,FoulBallFieldable,123,,
16,2026/7/12,4,7,毛木,Left,片岡,Left,1,3,2,Fastball,FoulBallFieldable,,,
17,2026/7/12,4,8,毛木,Left,片岡,Left,1,3,2,Curveball,BallCalled,,Walk,
18,2026/7/12,5,1,毛木,Left,大平,Right,1,0,0,Curveball,BallCalled,88,,
19,2026/7/12,5,2,毛木,Left,大平,Right,1,1,0,Fastball,BallCalled,119,,
20,2026/7/12,5,3,毛木,Left,大平,Right,1,2,0,Fastball,FoulBallFieldable,,,
21,2026/7/12,5,4,毛木,Left,大平,Right,1,2,1,Curveball,StrikeCalled,87,,
22,2026/7/12,5,5,毛木,Left,大平,Right,1,2,2,Fastball,StrikeCalled,125,,
23,2026/7/12,5,6,毛木,Left,大平,Right,1,2,2,Fastball,InPlay,125,Single,LineDrive
24,2026/7/12,6,1,毛木,Left,山元,Right,1,0,0,Fastball,StrikeCalled,121,,
25,2026/7/12,6,2,毛木,Left,山元,Right,1,0,1,Curveball,InPlay,88,Out,GroundBall
