PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,
1,2026/7/23,1,1,香西,Left,井櫻,Left,0,0,0,Fastball,BallCalled,131,,,
2,2026/7/23,1,2,香西,Left,井櫻,Left,0,1,0,Fastball,BallCalled,125,,,
3,2026/7/23,1,3,香西,Left,井櫻,Left,0,2,0,Fastball,BallCalled,124,,,
4,2026/7/23,1,4,香西,Left,井櫻,Left,0,3,0,Fastball,StrikeCalled,,,,
5,2026/7/23,1,5,香西,Left,井櫻,Left,0,3,1,Fastball,BallCalled,133,Walk,,
6,2026/7/23,2,1,香西,Left,山根,Right,0,0,0,Fastball,InPlay,,Out,Bunt,
7,2026/7/23,3,1,香西,Left,德丸,Left,2,0,0,Fastball,FoulBallFieldable,128,,,
8,2026/7/23,3,2,香西,Left,德丸,Left,2,0,1,Slider,InPlay,117,Out,GroundBall,
1,2026/7/23,1,1,安田,Right,寺尾,Right,0,0,0,ChangeUp,FoulBallFieldable,121,,,
2,2026/7/23,1,2,安田,Right,寺尾,Right,0,0,1,TwoSeamFastball,InPlay,,Error,GroundBall,
3,2026/7/23,2,1,安田,Right,尾形,Left,0,0,0,TwoSeamFastball,BallCalled,127,,,
4,2026/7/23,2,2,安田,Right,尾形,Left,0,1,0,ChangeUp,FoulBallFieldable,118,,Bunt,
5,2026/7/23,2,3,安田,Right,尾形,Left,0,1,1,ChangeUp,InPlay,115,Sacrifice,Bunt,
6,2026/7/23,3,1,安田,Right,髙橋海,Right,1,0,0,Fastball,FoulBallFieldable,,,,
7,2026/7/23,3,2,安田,Right,髙橋海,Right,1,0,1,Fastball,FoulBallFieldable,139,,,
8,2026/7/23,3,3,安田,Right,髙橋海,Right,1,0,2,Fastball,StrikeSwinging,140,Strikeout,,
9,2026/7/23,4,1,安田,Right,大内,Left,2,0,0,ChangeUp,BallCalled,115,,,
10,2026/7/23,4,2,安田,Right,大内,Left,2,1,0,Fastball,BallCalled,137,,,
11,2026/7/23,4,3,安田,Right,大内,Left,2,2,0,ChangeUp,BallCalled,117,,,
12,2026/7/23,4,4,安田,Right,大内,Left,2,3,0,ChangeUp,StrikeCalled,113,,,
13,2026/7/23,4,5,安田,Right,大内,Left,2,3,1,Fastball,FoulBallFieldable,134,,,
14,2026/7/23,4,6,安田,Right,大内,Left,2,3,2,TwoSeamFastball,FoulBallFieldable,120,,,
15,2026/7/23,4,7,安田,Right,大内,Left,2,3,2,ChangeUp,StrikeSwinging,119,Strikeout,,
1,2026/7/23,1,1,香西,Left,坂口,Right,0,0,0,Fastball,StrikeCalled,131,,,
2,2026/7/23,1,2,香西,Left,坂口,Right,0,0,1,Fastball,StrikeCalled,125,,,
3,2026/7/23,1,3,香西,Left,坂口,Right,0,0,2,Fastball,InPlay,135,Out,FlyBall,
4,2026/7/23,2,1,香西,Left,井櫻,Left,1,0,0,Fastball,InPlay,,Out,FlyBall,
5,2026/7/23,3,1,香西,Left,尾形,Left,2,0,0,Slider,BallCalled,116,,,
6,2026/7/23,3,2,香西,Left,尾形,Left,2,1,0,Slider,StrikeCalled,,,,
7,2026/7/23,3,3,香西,Left,尾形,Left,2,1,1,Splitter,BallCalled,124,,,
8,2026/7/23,3,4,香西,Left,尾形,Left,2,2,1,Splitter,StrikeCalled,126,,,
9,2026/7/23,3,5,香西,Left,尾形,Left,2,2,2,Curveball,BallCalled,109,,,
10,2026/7/23,3,6,香西,Left,尾形,Left,2,3,2,Fastball,InPlay,,Out,FlyBall,
1,2026/7/23,1,1,安田,Right,井櫻,Left,0,0,0,TwoSeamFastball,BallCalled,121,,,
2,2026/7/23,1,2,安田,Right,井櫻,Left,0,1,0,Fastball,StrikeCalled,,,,
3,2026/7/23,1,3,安田,Right,井櫻,Left,0,1,1,Fastball,StrikeCalled,136,,,
4,2026/7/23,1,4,安田,Right,井櫻,Left,0,1,2,TwoSeamFastball,InPlay,125,Out,FlyBall,
5,2026/7/23,2,1,安田,Right,山根,Right,1,0,0,Fastball,StrikeCalled,137,,,
6,2026/7/23,2,2,安田,Right,山根,Right,1,0,1,Fastball,InPlay,138,Out,FlyBall,
7,2026/7/23,3,1,安田,Right,德丸,Left,2,0,0,TwoSeamFastball,StrikeSwinging,127,,,
8,2026/7/23,3,2,安田,Right,德丸,Left,2,0,1,ChangeUp,BallCalled,114,,,
9,2026/7/23,3,3,安田,Right,德丸,Left,2,1,1,Fastball,InPlay,137,HomeRun,FlyBall,
10,2026/7/23,4,1,安田,Right,寺尾,Right,2,0,0,TwoSeamFastball,StrikeCalled,,,,
11,2026/7/23,4,2,安田,Right,寺尾,Right,2,0,1,Fastball,FoulBallFieldable,139,,,
12,2026/7/23,4,3,安田,Right,寺尾,Right,2,0,2,Curveball,BallCalled,114,,,
13,2026/7/23,4,4,安田,Right,寺尾,Right,2,1,2,Fastball,StrikeSwinging,,Strikeout,,
1,2026/7/23,1,1,香西,Left,尾形,Left,0,0,0,Curveball,StrikeCalled,100,,,
2,2026/7/23,1,2,香西,Left,尾形,Left,0,0,1,Fastball,BallCalled,134,,,
