PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,PlayResult,RelSpeed,Runner
1,2026/2/1,1,1,越井,Right,"Suda, Yuki",Left,0,0,0,Curveball,StrikeCalled,,111,0
2,2026/2/1,1,2,越井,Right,"Suda, Yuki",Left,0,0,1,Splitter,BallCalled,,133,0
3,2026/2/1,1,3,越井,Right,"Suda, Yuki",Left,0,1,1,Cutter,FoulBallFieldable,,130,0
4,2026/2/1,1,4,越井,Right,"Suda, Yuki",Left,0,1,2,Fastball,InPlay,Out,144,0
5,2026/2/1,2,1,越井,Right,"Yamane, Juntaro",Right,1,0,0,Fastball,BallCalled,,140,0
6,2026/2/1,2,2,越井,Right,"Yamane, Juntaro",Right,1,1,0,Fastball,BallCalled,,141,0
7,2026/2/1,2,3,越井,Right,"Yamane, Juntaro",Right,1,2,0,Fastball,InPlay,Single,142,0
8,2026/2/1,3,1,越井,Right,"Okanishi, Yuya",Left,1,0,0,Fastball,BallCalled,,139,1
9,2026/2/1,3,2,越井,Right,"Okanishi, Yuya",Left,2,1,0,Cutter,BallCalled,,128,1
10,2026/2/1,3,3,越井,Right,"Okanishi, Yuya",Left,2,2,0,Fastball,StrikeCalled,,140,0
11,2026/2/1,3,4,越井,Right,"Okanishi, Yuya",Left,2,2,1,Fastball,BallCalled,,141,0
12,2026/2/1,3,5,越井,Right,"Okanishi, Yuya",Left,2,3,1,Fastball,FoulBallFieldable,,138,0
13,2026/2/1,3,6,越井,Right,"Okanishi, Yuya",Left,2,3,2,Fastball,StrikeSwinging,Out,143,0
14,2026/2/1,1,1,越井,Right,"Terao, Kensei",Right,0,0,0,Splitter,BallCalled,,132,0
15,2026/2/1,1,2,越井,Right,"Terao, Kensei",Right,0,1,0,Fastball,StrikeCalled,,142,0
16,2026/2/1,1,3,越井,Right,"Terao, Kensei",Right,0,1,1,Slider,BallCalled,,125,0
17,2026/2/1,1,4,越井,Right,"Terao, Kensei",Right,0,2,1,Fastball,FoulBallFieldable,,141,0
18,2026/2/1,1,5,越井,Right,"Terao, Kensei",Right,0,2,2,Fastball,FoulBallFieldable,,145,0
19,2026/2/1,1,6,越井,Right,"Terao, Kensei",Right,0,2,2,Curveball,InPlay,Out,110,0
20,2026/2/1,2,1,越井,Right,"Ogata, Mikito",Left,1,0,0,Cutter,BallCalled,,128,0
21,2026/2/1,2,2,越井,Right,"Ogata, Mikito",Left,1,1,0,Fastball,FoulBallFieldable,,141,0
22,2026/2/1,2,3,越井,Right,"Ogata, Mikito",Left,1,1,1,Fastball,StrikeCalled,,144,0
23,2026/2/1,2,4,越井,Right,"Ogata, Mikito",Left,1,1,2,Splitter,StrikeCalled,Out,121,0
24,2026/2/1,3,1,越井,Right,"Nakamura, Rioto",Right,2,0,0,Splitter,BallCalled,,124,0
25,2026/2/1,3,2,越井,Right,"Nakamura, Rioto",Right,2,1,0,Fastball,FoulBallFieldable,,140,0
26,2026/2/1,3,3,越井,Right,"Nakamura, Rioto",Right,2,1,1,Fastball,StrikeCalled,,143,0
27,2026/2/1,3,4,越井,Right,"Nakamura, Rioto",Right,2,1,2,Slider,BallCalled,,113,0
