PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
1,2026/7/18,1,1,岡村,Right,阿部,Left,0,0,0,Fastball,InPlay,,HomeRun,FlyBall
2,2026/7/18,2,1,岡村,Right,吉田壮,Left,0,0,0,Fastball,FoulBallFieldable,,,
3,2026/7/18,2,2,岡村,Right,吉田壮,Left,0,0,1,Fastball,BallCalled,,,
4,2026/7/18,2,3,岡村,Right,吉田壮,Left,0,1,1,Fastball,InPlay,,Out,FlyBall
5,2026/7/18,3,1,岡村,Right,川尻,Right,1,0,0,Fastball,BallCalled,,,
6,2026/7/18,3,2,岡村,Right,川尻,Right,1,1,0,Fastball,BallCalled,,,
7,2026/7/18,3,3,岡村,Right,川尻,Right,1,2,0,Fastball,InPlay,,Out,FlyBall
8,2026/7/18,4,1,岡村,Right,德丸,Left,2,0,0,ChangeUp,BallCalled,,,
9,2026/7/18,4,2,岡村,Right,德丸,Left,2,1,0,Fastball,InPlay,,Single,GroundBall
10,2026/7/18,5,1,岡村,Right,尾形,Left,2,0,0,Fastball,BallCalled,,,
11,2026/7/18,5,2,岡村,Right,尾形,Left,2,1,0,Cutter,FoulBallFieldable,,,
12,2026/7/18,5,3,岡村,Right,尾形,Left,2,1,1,Cutter,BallCalled,,,
13,2026/7/18,5,4,岡村,Right,尾形,Left,2,2,1,ChangeUp,FoulBallFieldable,123,,
14,2026/7/18,5,5,岡村,Right,尾形,Left,2,2,2,ChangeUp,InPlay,121,Out,FlyBall
1,2026/7/18,1,1,山﨑,Right,井櫻,Left,0,0,0,Fastball,FoulBallFieldable,137,,
2,2026/7/18,1,2,山﨑,Right,井櫻,Left,0,0,1,Cutter,StrikeCalled,108,,
3,2026/7/18,1,3,山﨑,Right,井櫻,Left,0,0,2,Fastball,FoulBallFieldable,137,,
4,2026/7/18,1,4,山﨑,Right,井櫻,Left,0,0,2,Fastball,BallCalled,140,,
5,2026/7/18,1,5,山﨑,Right,井櫻,Left,0,1,2,Slider,InPlay,123,Out,FlyBall
6,2026/7/18,2,1,山﨑,Right,山根,Right,1,0,0,Slider,BallCalled,121,,
7,2026/7/18,2,2,山﨑,Right,山根,Right,1,1,0,Fastball,BallCalled,136,,
8,2026/7/18,2,3,山﨑,Right,山根,Right,1,2,0,Fastball,BallCalled,130,,
9,2026/7/18,2,4,山﨑,Right,山根,Right,1,3,0,Fastball,BallCalled,,Walk,
10,2026/7/18,3,1,山﨑,Right,岡西,Left,1,0,0,Fastball,FoulBallFieldable,138,,
11,2026/7/18,3,2,山﨑,Right,岡西,Left,1,0,1,ChangeUp,BallCalled,118,,
12,2026/7/18,3,3,山﨑,Right,岡西,Left,1,1,1,Fastball,InPlay,132,Single,GroundBall
13,2026/7/18,4,1,山﨑,Right,寺尾,Right,1,0,0,Slider,InPlay,126,Out,FlyBall
14,2026/7/18,5,1,山﨑,Right,髙橋海,Right,2,0,0,Curveball,BallCalled,105,,
15,2026/7/18,5,2,山﨑,Right,髙橋海,Right,2,1,0,Curveball,FoulBallFieldable,107,,
16,2026/7/18,5,3,山﨑,Right,髙橋海,Right,2,1,1,Slider,StrikeCalled,128,,
17,2026/7/18,5,4,山﨑,Right,髙橋海,Right,2,1,2,ChangeUp,BallCalled,120,,
18,2026/7/18,5,5,山﨑,Right,髙橋海,Right,2,2,2,Slider,InPlay,119,Out,FlyBall
1,2026/7/18,1,1,岡村,Right,永田,Right,0,0,0,Fastball,BallCalled,,,
2,2026/7/18,1,2,岡村,Right,永田,Right,0,1,0,Cutter,StrikeCalled,118,,
3,2026/7/18,1,3,岡村,Right,永田,Right,0,1,1,Fastball,StrikeCalled,,,
4,2026/7/18,1,4,岡村,Right,永田,Right,0,1,2,Fastball,FoulBallFieldable,128,,
5,2026/7/18,1,5,岡村,Right,永田,Right,0,1,2,Curveball,StrikeCalled,108,Strikeout,
6,2026/7/18,2,1,岡村,Right,山本,Left,1,0,0,Curveball,BallCalled,108,,
7,2026/7/18,2,2,岡村,Right,山本,Left,1,1,0,Fastball,BallCalled,126,,
8,2026/7/18,2,3,岡村,Right,山本,Left,1,2,0,Fastball,StrikeCalled,133,,
9,2026/7/18,2,4,岡村,Right,山本,Left,1,2,1,ChangeUp,BallCalled,121,,
10,2026/7/18,2,5,岡村,Right,山本,Left,1,3,1,Fastball,BallCalled,130,Walk,
11,2026/7/18,3,1,岡村,Right,中村俊,Left,1,0,0,Fastball,BallCalled,133,,
12,2026/7/18,3,2,岡村,Right,中村俊,Left,1,1,0,Fastball,BallCalled,133,,
13,2026/7/18,3,3,岡村,Right,中村俊,Left,1,2,0,Fastball,FoulBallFieldable,,,
14,2026/7/18,3,4,岡村,Right,中村俊,Left,1,2,1,ChangeUp,InPlay,123,Single,
15,2026/7/18,4,1,岡村,Right,坂口,Right,1,0,0,ChangeUp,FoulBallFieldable,117,,
16,2026/7/18,4,2,岡村,Right,坂口,Right,1,0,1,ChangeUp,BallCalled,117,,
17,2026/7/18,4,3,岡村,Right,坂口,Right,1,1,1,Fastball,BallCalled,,,
18,2026/7/18,4,4,岡村,Right,坂口,Right,1,2,1,ChangeUp,BallCalled,122,,
19,2026/7/18,4,5,岡村,Right,坂口,Right,1,3,1,Fastball,StrikeCalled,129,,
20,2026/7/18,4,6,岡村,Right,坂口,Right,1,3,2,Fastball,InPlay,130,Out,FlyBall
21,2026/7/18,5,1,岡村,Right,阿部,Left,2,0,0,ChangeUp,FoulBallFieldable,123,,
22,2026/7/18,5,2,岡村,Right,阿部,Left,2,0,1,ChangeUp,StrikeCalled,121,,
23,2026/7/18,5,3,岡村,Right,阿部,Left,2,0,2,Fastball,BallCalled,,,
24,2026/7/18,5,4,岡村,Right,阿部,Left,2,1,2,Curveball,FoulBallFieldable,108,,
25,2026/7/18,5,5,岡村,Right,阿部,Left,2,1,2,ChangeUp,InPlay,120,Out,FlyBall
1,2026/7/18,1,1,山﨑,Right,大平,Right,0,0,0,Curveball,BallCalled,101,,
2,2026/7/18,1,2,山﨑,Right,大平,Right,0,1,0,Fastball,InPlay,,Out,GroundBall
3,2026/7/18,2,1,山﨑,Right,三戸,Left,1,0,0,ChangeUp,InPlay,118,Out,GroundBall
4,2026/7/18,3,1,山﨑,Right,大越,Right,2,0,0,Fastball,StrikeCalled,,,
5,2026/7/18,3,2,山﨑,Right,大越,Right,2,0,1,Fastball,StrikeCalled,,,
6,2026/7/18,3,3,山﨑,Right,大越,Right,2,0,2,Slider,BallCalled,,,
7,2026/7/18,3,4,山﨑,Right,大越,Right,2,1,2,Curveball,InPlay,105,Double,LineDrive
8,2026/7/18,4,1,山﨑,Right,大内,Left,2,0,0,Fastball,StrikeCalled,136,,
9,2026/7/18,4,2,山﨑,Right,大内,Left,2,0,1,Fastball,BallCalled,133,,
10,2026/7/18,4,3,山﨑,Right,大内,Left,2,1,1,Curveball,BallCalled,108,,
11,2026/7/18,4,4,山﨑,Right,大内,Left,2,2,1,ChangeUp,BallCalled,,,
12,2026/7/18,4,5,山﨑,Right,大内,Left,2,3,1,Fastball,StrikeCalled,134,,
13,2026/7/18,4,6,山﨑,Right,大内,Left,2,3,2,Fastball,InPlay,137,Out,FlyBall
1,2026/7/18,1,1,岡村,Right,吉田壮,Left,0,0,0,Fastball,StrikeCalled,135,,
2,2026/7/18,1,2,岡村,Right,吉田壮,Left,0,0,1,Fastball,StrikeCalled,137,,
3,2026/7/18,1,3,岡村,Right,吉田壮,Left,0,0,2,Fastball,BallCalled,131,,
4,2026/7/18,1,4,岡村,Right,吉田壮,Left,0,1,2,ChangeUp,BallCalled,117,,
5,2026/7/18,1,5,岡村,Right,吉田壮,Left,0,2,2,ChangeUp,StrikeCalled,118,Strikeout,
6,2026/7/18,2,1,岡村,Right,川尻,Right,1,0,0,Curveball,StrikeCalled,98,,
7,2026/7/18,2,2,岡村,Right,川尻,Right,1,0,1,ChangeUp,BallCalled,,,
8,2026/7/18,2,3,岡村,Right,川尻,Right,1,1,1,Fastball,BallCalled,,,
