Game Pitch,Pitch Created At,PitchID,Pitch Type,Is Strike,PlateLocSide (CM),PlateLocHeight (CM),RelSpeed (KMH),SpinRate,TrueSpinRelease,Spin Efficiency,Spin Direction,InducedVertBreak (CM),HorzBreak (CM),HorzRelAngle,VertRelAngle,RelHeight (Meters),RelSide (Meters),Gyro Degree (deg),Right Hand Spin Direction,Right Hand Total Spin,Left Hand Spin Direction,Left Hand Total Spin,IntentType,Pitcher First Name,Pitcher Last Name,Device Serial Number,Latitude,Longitude,VerticalSSWBreak (Meters),HorizontalSSWBreak (Meters),Flagged
9,02-14-2026 08:14:41,1771056881,FB,Y,-8,100,135.3,1954,1954,99,1:22,58.6,28.8,2.5,-1.6,1.8,0.3,1,0:00,0,0:00,0,high_intent,矢後,Yago,MTD-22119CB2427,--,--,0,0,FALSE
8,02-14-2026 08:14:23,1771056863,CB,N,-6,-2,110.6,1787,1344,75,6:28,-19.2,-21.6,0.6,-0.5,1.8,0.3,41,0:00,0,0:00,0,high_intent,矢後,Yago,MTD-22119CB2427,--,--,0,0,FALSE
7,02-14-2026 08:14:08,1771056848,CB,N,-2,30,110.7,1875,1212,64,6:46,-21.5,-23.8,0.6,0.6,1.7,0.4,49,0:00,0,0:00,0,high_intent,矢後,Yago,MTD-22119CB2427,--,--,0,0,FALSE
6,02-14-2026 08:13:54,1771056834,FB,Y,15,66,135.5,0,0,0,12:00,57.5,36.4,2,-2.6,1.8,0.3,0,0:00,0,0:00,0,high_intent,矢後,Yago,MTD-22119CB2427,--,--,0,0,FALSE
5,02-14-2026 08:13:33,1771056813,SP,Y,-5,79,126,1036,993,95,1:38,10.3,31.2,2.7,0.1,1.8,0.4,16,0:00,0,0:00,0,high_intent,矢後,Yago,MTD-22119CB2427,--,--,0,0,FALSE
4,02-14-2026 08:13:13,1771056793,SP,N,-27,-7,124.6,1147,1122,97,2:04,6.4,38.1,3.8,-2.9,1.8,0.4,11,0:00,0,0:00,0,high_intent,矢後,Yago,MTD-22119CB2427,--,--,0,0,FALSE
3,02-14-2026 08:12:59,1771056779,SP,Y,15,84,125.3,1230,1223,99,1:28,33.1,27.3,1.8,-0.5,1.8,0.4,6,0:00,0,0:00,0,high_intent,矢後,Yago,MTD-22119CB2427,--,--,0,0,FALSE
2,02-14-2026 08:12:43,1771056763,FB,N,-25,47,134.1,1955,1884,96,1:04,57,24.8,3,-3.4,1.8,0.3,-15,0:00,0,0:00,0,high_intent,矢後,Yago,MTD-22119CB2427,--,--,0,0,FALSE
1,02-14-2026 08:12:27,1771056747,FB,N,6,46,133.4,1974,1974,99,12:44,46.2,34.8,2.2,-2.8,1.8,0.3,0,0:00,0,0:00,0,high_intent,矢後,Yago,MTD-22119CB2427,--,--,0,0,FALSE
25,02-14-2026 08:09:07,1771056547,FB,N,28,70,135.8,2163,2080,96,10:58,52.2,-22.5,-3.4,-1.5,1.6,-0.4,-15,0:00,0,0:00,0,high_intent,宮城,Tawa,MTD-22119CB2427,--,--,0,0,FALSE
24,02-14-2026 08:08:47,1771056527,FB,N,-38,74,139.6,2100,2040,97,11:04,50.6,-28.9,-1.3,-1.5,1.6,-0.5,-13,0:00,0,0:00,0,high_intent,宮城,Tawa,MTD-22119CB2427,--,--,0,0,FALSE
23,02-14-2026 08:08:24,1771056504,FB,Y,-5,84,137,2083,2050,98,11:06,37.3,-43.6,-3.1,-0.6,1.6,-0.5,10,0:00,0,0:00,0,high_intent,宮城,Tawa,MTD-22119CB2427,--,--,0,0,FALSE
22,02-14-2026 08:07:59,1771056479,FB,Y,1,83,137.4,2064,2002,96,11:04,39.5,-41.2,-3.1,-0.7,1.6,-0.4,-14,0:00,0,0:00,0,high_intent,宮城,Tawa,MTD-22119CB2427,--,--,0,0,FALSE
21,02-14-2026 08:07:34,1771056454,FB,N,0,115,138.5,2094,2039,97,10:42,54,-36.6,-2.9,0,1.6,-0.4,-13,0:00,0,0:00,0,high_intent,宮城,Tawa,MTD-22119CB2427,--,--,0,0,FALSE
20,02-14-2026 08:07:10,1771056430,FB,Y,4,104,138.8,2174,2110,97,10:58,45,-30.8,-2.9,-0.3,1.6,-0.4,-13,0:00,0,0:00,0,high_intent,宮城,Tawa,MTD-22119CB2427,--,--,0,0,FALSE
19,02-14-2026 08:06:19,1771056379,FB,N,-39,116,160.8,2175,2119,97,11:02,34.7,-38.6,-1.8,-0.6,1.8,-0.6,-13,0:00,0,0:00,0,high_intent,宮城,Tawa,MTD-22119CB2427,--,--,0,0,FALSE
18,02-14-2026 08:05:48,1771056348,SL,Y,14,64,118.2,1975,982,49,4:34,-11.5,19.2,-1.5,1.7,1.5,-0.5,-60,0:00,0,0:00,0,high_intent,宮城,Tawa,MTD-22119CB2427,--,--,0,0,FALSE
17,02-14-2026 08:05:31,1771056331,SL,Y,1,79,118.1,1904,1174,61,4:14,-13.8,13.4,-1.2,2.3,1.6,-0.5,-51,0:00,0,0:00,0,high_intent,宮城,Tawa,MTD-22119CB2427,--,--,0,0,FALSE
16,02-14-2026 08:05:08,1771056308,FB,N,57,86,137.9,2063,1997,96,11:08,53.3,-18.9,-4.2,-1.2,1.6,-0.4,-14,0:00,0,0:00,0,high_intent,宮城,Tawa,MTD-22119CB2427,--,--,0,0,FALSE
15,02-14-2026 08:04:42,1771056282,FB,Y,-4,70,138.8,2110,2056,97,10:58,53.2,-33.9,-2.7,-1.7,1.6,-0.5,-12,0:00,0,0:00,0,high_intent,宮城,Tawa,MTD-22119CB2427,--,--,0,0,FALSE
14,02-14-2026 08:04:16,1771056256,FB,Y,12,83,136.7,2144,2135,99,10:38,54.6,-37.4,-3.3,-1.3,1.6,-0.4,-5,0:00,0,0:00,0,high_intent,宮城,Tawa,MTD-22119CB2427,--,--,0,0,FALSE
13,02-14-2026 08:03:51,1771056231,FB,N,-36,72,139.4,2085,1933,92,11:22,52.9,-32.9,-1.6,-1.6,1.6,-0.5,22,0:00,0,0:00,0,high_intent,宮城,Tawa,MTD-22119CB2427,--,--,0,0,FALSE
