PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,
1,2026/7/31,1,1,岡村,Right,井櫻,Left,0,0,0,Fastball,BallCalled,137,,,
2,2026/7/31,1,2,岡村,Right,井櫻,Left,0,1,0,Fastball,BallCalled,136,,,
3,2026/7/31,1,3,岡村,Right,井櫻,Left,0,2,0,Fastball,InPlay,136,HomeRun,FlyBall,
4,2026/7/31,2,1,岡村,Right,山根,Right,0,0,0,Cutter,BallCalled,127,,,
5,2026/7/31,2,2,岡村,Right,山根,Right,0,1,0,Fastball,FoulBallFieldable,136,,,
6,2026/7/31,2,3,岡村,Right,山根,Right,0,1,1,Cutter,InPlay,127,Out,GroundBall,
7,2026/7/31,3,1,岡村,Right,佐藤寛,Left,1,0,0,Slider,StrikeCalled,111,,,
8,2026/7/31,3,2,岡村,Right,佐藤寛,Left,1,0,1,ChangeUp,StrikeSwinging,128,,,
9,2026/7/31,3,3,岡村,Right,佐藤寛,Left,1,0,2,ChangeUp,BallCalled,128,,,
10,2026/7/31,3,4,岡村,Right,佐藤寛,Left,1,1,2,Fastball,InPlay,138,Single,LineDrive,
11,2026/7/31,4,1,岡村,Right,寺尾,Right,1,0,0,Curveball,StrikeCalled,105,,,
12,2026/7/31,4,2,岡村,Right,寺尾,Right,1,0,1,Curveball,FoulBallFieldable,105,,,
13,2026/7/31,4,3,岡村,Right,寺尾,Right,1,0,2,Fastball,BallCalled,138,,,
14,2026/7/31,4,4,岡村,Right,寺尾,Right,1,1,2,Slider,BallCalled,119,,,
15,2026/7/31,4,5,岡村,Right,寺尾,Right,1,2,2,Slider,FoulBallFieldable,118,,,
16,2026/7/31,4,6,岡村,Right,寺尾,Right,1,2,2,Slider,InPlay,115,Out,FlyBall,
17,2026/7/31,5,1,岡村,Right,霜,Right,2,0,0,Fastball,FoulBallFieldable,135,,,
18,2026/7/31,5,2,岡村,Right,霜,Right,2,0,1,Curveball,BallCalled,109,,,
19,2026/7/31,5,3,岡村,Right,霜,Right,2,1,1,Fastball,InPlay,134,Out,FlyBall,
20,2026/7/31,1,1,岡村,Right,川尻,Right,0,0,0,ChangeUp,StrikeCalled,123,,,
21,2026/7/31,1,2,岡村,Right,川尻,Right,0,0,1,Curveball,BallCalled,112,,,
22,2026/7/31,1,3,岡村,Right,川尻,Right,0,1,1,ChangeUp,BallCalled,122,,,
23,2026/7/31,1,4,岡村,Right,川尻,Right,0,2,1,ChangeUp,BallCalled,121,,,
24,2026/7/31,1,5,岡村,Right,川尻,Right,0,3,1,ChangeUp,InPlay,125,Out,FlyBall,
25,2026/7/31,2,1,岡村,Right,尾形,Left,1,0,0,Curveball,BallCalled,112,,,
26,2026/7/31,2,2,岡村,Right,尾形,Left,1,1,0,Curveball,FoulBallFieldable,111,,,
27,2026/7/31,2,3,岡村,Right,尾形,Left,1,1,1,Curveball,FoulBallFieldable,114,,,
28,2026/7/31,2,4,岡村,Right,尾形,Left,1,1,2,Slider,StrikeCalled,123,Strikeout,,
29,2026/7/31,3,1,岡村,Right,坂口,Right,2,0,0,Fastball,StrikeCalled,136,,,
30,2026/7/31,3,2,岡村,Right,坂口,Right,2,0,1,Slider,StrikeCalled,124,,,
31,2026/7/31,3,3,岡村,Right,坂口,Right,2,0,2,Slider,StrikeSwinging,125,Strikeout,,
32,2026/7/31,1,1,岡村,Right,大内,Left,0,0,0,Curveball,BallCalled,111,,,
33,2026/7/31,1,2,岡村,Right,大内,Left,0,1,0,Curveball,BallCalled,112,,,
34,2026/7/31,1,3,岡村,Right,大内,Left,0,2,0,Fastball,BallCalled,137,,,
35,2026/7/31,1,4,岡村,Right,大内,Left,0,3,0,Fastball,BallCalled,135,Walk,,
36,2026/7/31,2,5,岡村,Right,大内,Left,0,0,0,Fastball,FoulBallFieldable,135,,,
37,2026/7/31,2,6,岡村,Right,大内,Left,0,0,1,Slider,FoulBallFieldable,124,,,
38,2026/7/31,2,7,岡村,Right,大内,Left,0,0,2,Fastball,BallCalled,137,,,
39,2026/7/31,2,8,岡村,Right,大内,Left,0,1,2,Slider,FoulBallFieldable,122,,,
40,2026/7/31,2,9,岡村,Right,大内,Left,0,1,2,Slider,InPlay,122,Sacrifice,GroundBall,
1,2026/7/31,1,1,田中柊,Right,井櫻,Left,0,0,0,Curveball,StrikeCalled,96,,,
2,2026/7/31,1,2,田中柊,Right,井櫻,Left,0,0,1,Cutter,StrikeSwinging,125,,,
3,2026/7/31,1,3,田中柊,Right,井櫻,Left,0,0,2,Cutter,InPlay,124,Out,GroundBall,
4,2026/7/31,2,1,田中柊,Right,山根,Right,1,0,0,Curveball,StrikeCalled,92,,,
5,2026/7/31,2,2,田中柊,Right,山根,Right,1,0,1,Fastball,BallCalled,138,,,
6,2026/7/31,2,3,田中柊,Right,山根,Right,1,1,1,TwoSeamFastball,FoulBallFieldable,132,,,
7,2026/7/31,2,4,田中柊,Right,山根,Right,1,1,2,Cutter,FoulBallFieldable,125,,,
8,2026/7/31,2,5,田中柊,Right,山根,Right,1,1,2,Curveball,FoulBallFieldable,93,,,
9,2026/7/31,2,6,田中柊,Right,山根,Right,1,1,2,Cutter,BallCalled,121,,,
10,2026/7/31,2,7,田中柊,Right,山根,Right,1,2,2,Fastball,BallCalled,139,,,
11,2026/7/31,2,8,田中柊,Right,山根,Right,1,3,2,Slider,FoulBallFieldable,118,,,
12,2026/7/31,2,9,田中柊,Right,山根,Right,1,3,2,Slider,FoulBallFieldable,122,,,
13,2026/7/31,2,10,田中柊,Right,山根,Right,1,3,2,TwoSeamFastball,InPlay,122,Single,LineDrive,
14,2026/7/31,3,1,田中柊,Right,佐藤寛,Left,1,0,0,Fastball,StrikeCalled,137,,,
15,2026/7/31,3,2,田中柊,Right,佐藤寛,Left,1,0,1,Fastball,BallCalled,136,,,
16,2026/7/31,3,3,田中柊,Right,佐藤寛,Left,1,1,1,TwoSeamFastball,InPlay,124,Out,GroundBall,
17,2026/7/31,4,1,田中柊,Right,寺尾,Right,2,0,0,Curveball,BallCalled,93,,,
18,2026/7/31,4,2,田中柊,Right,寺尾,Right,2,1,0,Fastball,BallCalled,137,,,
19,2026/7/31,4,3,田中柊,Right,寺尾,Right,2,2,0,Slider,BallCalled,120,,,
20,2026/7/31,4,4,田中柊,Right,寺尾,Right,2,3,0,Fastball,StrikeCalled,135,,,
21,2026/7/31,4,5,田中柊,Right,寺尾,Right,2,3,1,TwoSeamFastball,FoulBallFieldable,120,,,
22,2026/7/31,4,6,田中柊,Right,寺尾,Right,2,3,2,Fastball,InPlay,136,Out,FlyBall,
23,2026/7/31,1,1,田中柊,Right,霜,Right,0,0,0,Curveball,BallCalled,96,,,
24,2026/7/31,1,2,田中柊,Right,霜,Right,0,1,0,Fastball,StrikeCalled,140,,,
25,2026/7/31,1,3,田中柊,Right,霜,Right,0,1,1,Fastball,FoulBallFieldable,139,,,
26,2026/7/31,1,4,田中柊,Right,霜,Right,0,1,2,Slider,BallCalled,113,,,
27,2026/7/31,1,5,田中柊,Right,霜,Right,0,2,2,Fastball,FoulBallFieldable,140,,,
28,2026/7/31,1,6,田中柊,Right,霜,Right,0,2,2,Slider,FoulBallFieldable,113,,,
29,2026/7/31,1,7,田中柊,Right,霜,Right,0,2,2,Slider,BallCalled,118,,,
30,2026/7/31,1,8,田中柊,Right,霜,Right,0,3,2,Fastball,InPlay,140,Single,LineDrive,
31,2026/7/31,2,1,田中柊,Right,川尻,Right,0,0,0,Fastball,FoulBallFieldable,139,,,
32,2026/7/31,2,2,田中柊,Right,川尻,Right,0,0,1,Cutter,BallCalled,123,,,
33,2026/7/31,2,3,田中柊,Right,川尻,Right,0,1,1,Fastball,BallCalled,137,,,
34,2026/7/31,2,4,田中柊,Right,川尻,Right,0,2,1,Fastball,InPlay,134,Out,FlyBall,
35,2026/7/31,3,1,田中柊,Right,尾形,Left,1,0,0,Fastball,InPlay,,Out,GroundBall,
36,2026/7/31,4,1,田中柊,Right,坂口,Right,2,0,0,Fastball,InPlay,139,Single,LineDrive,
37,2026/7/31,5,1,田中柊,Right,大内,Left,2,0,0,Fastball,BallCalled,137,,,
38,2026/7/31,5,2,田中柊,Right,大内,Left,2,1,0,TwoSeamFastball,InPlay,124,Out,GroundBall,
1,2026/7/31,1,1,山田翔,Left,中村俊,Left,0,0,0,ChangeUp,BallCalled,118,,,
