PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,
12,2026/7/31,3,5,岩﨑龍,Left,西谷,Left,2,3,1,Cutter,InPlay,123,Out,GroundBall,
1,2026/7/31,1,1,俵積田,Right,高崎,Right,0,0,0,ChangeUp,BallCalled,113,,,
2,2026/7/31,1,2,俵積田,Right,高崎,Right,0,1,0,ChangeUp,StrikeSwinging,116,,,
3,2026/7/31,1,3,俵積田,Right,高崎,Right,0,1,1,Cutter,InPlay,117,Out,GroundBall,
4,2026/7/31,2,1,俵積田,Right,古田,Right,1,0,0,Cutter,InPlay,,Out,GroundBall,
5,2026/7/31,3,1,俵積田,Right,細谷,Left,2,0,0,ChangeUp,BallCalled,123,,,
6,2026/7/31,3,2,俵積田,Right,細谷,Left,2,1,0,ChangeUp,InPlay,123,Out,GroundBall,
1,2026/7/31,1,1,岩﨑龍,Left,金子,Right,0,0,0,Cutter,BallCalled,123,,,
2,2026/7/31,1,2,岩﨑龍,Left,金子,Right,0,1,0,Fastball,FoulBallFieldable,127,,,
3,2026/7/31,1,3,岩﨑龍,Left,金子,Right,0,1,1,Curveball,BallCalled,106,,,
4,2026/7/31,1,4,岩﨑龍,Left,金子,Right,0,2,1,Cutter,BallCalled,120,,,
5,2026/7/31,1,5,岩﨑龍,Left,金子,Right,0,3,1,Fastball,InPlay,128,Out,FlyBall,
6,2026/7/31,2,1,岩﨑龍,Left,舟橋,Right,1,0,0,Fastball,InPlay,128,Double,FlyBall,
7,2026/7/31,3,1,岩﨑龍,Left,永田,Right,1,0,0,Fastball,BallCalled,126,,,
8,2026/7/31,3,2,岩﨑龍,Left,永田,Right,1,1,0,Cutter,BallCalled,123,,,
9,2026/7/31,3,3,岩﨑龍,Left,永田,Right,1,2,0,Fastball,BallCalled,129,,,
10,2026/7/31,3,4,岩﨑龍,Left,永田,Right,1,3,0,Cutter,InPlay,123,Single,LineDrive,
11,2026/7/31,4,1,岩﨑龍,Left,渡邊康,Right,1,0,0,Curveball,StrikeCalled,107,,,
12,2026/7/31,4,2,岩﨑龍,Left,渡邊康,Right,1,0,1,Cutter,BallCalled,124,,,
13,2026/7/31,4,3,岩﨑龍,Left,渡邊康,Right,1,1,1,Curveball,StrikeCalled,108,,,
14,2026/7/31,4,4,岩﨑龍,Left,渡邊康,Right,1,1,2,Cutter,InPlay,124,Out,GroundBall,
15,2026/7/31,5,1,岩﨑龍,Left,箭原,Left,2,0,0,Fastball,StrikeCalled,128,,,
16,2026/7/31,5,2,岩﨑龍,Left,箭原,Left,2,0,1,Curveball,BallCalled,101,,,
17,2026/7/31,5,3,岩﨑龍,Left,箭原,Left,2,1,1,Cutter,FoulBallFieldable,122,,,
18,2026/7/31,5,4,岩﨑龍,Left,箭原,Left,2,1,2,Cutter,InPlay,123,Out,GroundBall,
1,2026/7/31,1,1,俵積田,Right,片岡,Left,0,0,0,Cutter,StrikeCalled,122,,,
2,2026/7/31,1,2,俵積田,Right,片岡,Left,0,0,1,ChangeUp,StrikeSwinging,118,,,
3,2026/7/31,1,3,俵積田,Right,片岡,Left,0,0,2,Fastball,FoulBallFieldable,134,,,
4,2026/7/31,1,4,俵積田,Right,片岡,Left,0,0,2,Fastball,InPlay,132,Out,FlyBall,
5,2026/7/31,2,1,俵積田,Right,今野,Right,1,0,0,ChangeUp,InPlay,117,Out,FlyBall,
6,2026/7/31,3,1,俵積田,Right,野田,Left,2,0,0,Fastball,StrikeSwinging,123,,,
7,2026/7/31,3,2,俵積田,Right,野田,Left,2,0,1,ChangeUp,BallCalled,120,,,
8,2026/7/31,3,3,俵積田,Right,野田,Left,2,1,1,ChangeUp,BallCalled,121,,,
9,2026/7/31,3,4,俵積田,Right,野田,Left,2,2,1,Fastball,InPlay,131,Out,FlyBall,
1,2026/7/31,1,1,岩﨑龍,Left,豊田,Right,0,0,0,Fastball,InPlay,120,Out,FlyBall,
2,2026/7/31,2,1,岩﨑龍,Left,江﨑,Left,1,0,0,Curveball,StrikeCalled,107,,,
3,2026/7/31,2,2,岩﨑龍,Left,江﨑,Left,1,0,1,Curveball,BallCalled,104,,,
4,2026/7/31,2,3,岩﨑龍,Left,江﨑,Left,1,1,1,Cutter,FoulBallFieldable,114,,,
5,2026/7/31,2,4,岩﨑龍,Left,江﨑,Left,1,1,2,Curveball,BallCalled,108,,,
6,2026/7/31,2,5,岩﨑龍,Left,江﨑,Left,1,2,2,Fastball,BallCalled,128,,,
7,2026/7/31,2,6,岩﨑龍,Left,江﨑,Left,1,3,2,Cutter,FoulBallFieldable,120,,,
8,2026/7/31,2,7,岩﨑龍,Left,江﨑,Left,1,3,2,Cutter,FoulBallFieldable,122,,,
9,2026/7/31,2,8,岩﨑龍,Left,江﨑,Left,1,3,2,Cutter,BallCalled,123,Walk,,
10,2026/7/31,3,1,岩﨑龍,Left,原口,Right,1,0,0,Fastball,StrikeCalled,128,,,
11,2026/7/31,3,2,岩﨑龍,Left,原口,Right,1,0,1,Curveball,FoulBallFieldable,108,,,
12,2026/7/31,3,3,岩﨑龍,Left,原口,Right,1,0,2,Fastball,StrikeCalled,129,Strikeout,,
13,2026/7/31,4,1,岩﨑龍,Left,西谷,Left,2,0,0,Cutter,StrikeCalled,120,,,
1,2026/7/31,1,1,俵積田,Right,秋田,Right,0,0,0,Cutter,InPlay,120,Out,FlyBall,
2,2026/7/31,2,1,俵積田,Right,新井,Left,1,0,0,Cutter,FoulBallFieldable,123,,,
3,2026/7/31,2,2,俵積田,Right,新井,Left,1,0,1,ChangeUp,StrikeCalled,120,,,
4,2026/7/31,2,3,俵積田,Right,新井,Left,1,0,2,Fastball,FoulBallFieldable,134,,,
5,2026/7/31,2,4,俵積田,Right,新井,Left,1,0,2,ChangeUp,FoulBallFieldable,120,,,
6,2026/7/31,2,5,俵積田,Right,新井,Left,1,0,2,Fastball,BallCalled,135,,,
7,2026/7/31,2,6,俵積田,Right,新井,Left,1,1,2,Fastball,BallCalled,133,,,
8,2026/7/31,2,7,俵積田,Right,新井,Left,1,2,2,Cutter,FoulBallFieldable,124,,,
9,2026/7/31,2,8,俵積田,Right,新井,Left,1,2,2,Fastball,InPlay,,Out,FlyBall,
10,2026/7/31,3,1,俵積田,Right,荘川,Left,2,0,0,Cutter,BallCalled,122,,,
