PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,
8,2026/3/23,3,3,高槻,Right,"Rioto, nakamura",Right,1,1,1,Fastball,BallCalled,,,,
9,2026/3/23,3,4,高槻,Right,"Rioto, nakamura",Right,1,2,1,Fastball,StrikeCalled,,,,
10,2026/3/23,3,5,高槻,Right,"Rioto, nakamura",Right,1,2,2,Slider,InPlay,,Single,LineDrive,
11,2026/3/23,4,1,高槻,Right,"Yoshinari, atumi",Left,1,0,0,Fastball,StrikeCalled,,,,
12,2026/3/23,4,2,高槻,Right,"Yoshinari, atumi",Left,1,0,1,Fastball,InPlay,,Out,FlyBall,
13,2026/3/23,5,1,高槻,Right,"Daichi, kaneko",Right,2,0,0,Slider,BallCalled,,,,
14,2026/3/23,5,2,高槻,Right,"Daichi, kaneko",Right,2,1,0,Fastball,InPlay,,Out,FlyBall,
1,2026/3/23,1,1,足達,Right,"Kosuke, kataoka",Left,0,0,0,Fastball,BallCalled,,,,
2,2026/3/23,1,2,足達,Right,"Kosuke, kataoka",Left,0,1,0,Fastball,FoulBallFieldable,,,,
3,2026/3/23,1,3,足達,Right,"Kosuke, kataoka",Left,0,1,1,Fastball,BallCalled,,,,
4,2026/3/23,1,4,足達,Right,"Kosuke, kataoka",Left,0,2,1,Fastball,BallCalled,,,,
5,2026/3/23,1,5,足達,Right,"Kosuke, kataoka",Left,0,3,1,Fastball,InPlay,,Out,GroundBall,
6,2026/3/23,2,1,足達,Right,"Sho, ngato",Right,1,0,0,Fastball,InPlay,,Single,FlyBall,
7,2026/3/23,3,1,足達,Right,"Ritsuha, funabashi",Right,1,0,0,Fastball,BallCalled,,,,
8,2026/3/23,3,2,足達,Right,"Ritsuha, funabashi",Right,1,1,0,Fastball,StrikeCalled,,,,
9,2026/3/23,3,3,足達,Right,"Ritsuha, funabashi",Right,1,1,1,Curveball,StrikeCalled,,,,
10,2026/3/23,3,4,足達,Right,"Ritsuha, funabashi",Right,1,1,2,Fastball,StrikeSwinging,,Out,,
11,2026/3/23,4,1,足達,Right,"Masaaki, suzuki",Left,2,0,0,Fastball,InPlay,,Single,FlyBall,
12,2026/3/23,5,1,足達,Right,"Yuta, sakaguchi",Right,2,0,0,Fastball,InPlay,,Out,GroundBall,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
